eps1         u           sigma3       sigma3'      sigma1       sigma1'      p             q
[%]         [kPa]        [kPa]        [kPa]        [kPa]        [kPa]        [kPa]         [kPa] 

0.0000      500.4575     700.9894     200.5319     701.0557     200.5982     200.5540      0.0663
0.0613      504.1001     700.9570     196.8568     707.1342     203.0341     198.9159      6.1772
0.1227      509.2970     700.9246     191.6276     712.2847     202.9876     195.4143      11.3601
0.1787      513.6035     700.8436     187.2401     718.7313     205.1278     193.2027      17.8877
0.2423      520.1441     700.8598     180.7157     727.5263     207.3821     189.6045      26.6665
0.3026      527.3809     700.8274     173.4465     735.1480     207.7671     184.8867      34.3206
0.3552      533.0473     700.8598     167.8125     740.3326     207.2853     180.9701      39.4728
0.4132      537.3214     700.8598     163.5384     744.0576     206.7362     177.9377      43.1978
0.4660      540.7051     700.9084     160.2034     746.9969     206.2919     175.5662      46.0885
0.5257      543.9592     700.9084     156.9492     749.6561     205.6969     173.1985      48.7477
0.5827      546.8410     700.9084     154.0675     751.7832     204.9423     171.0257      50.8748
0.6412      549.4799     700.9246     151.4447     753.9826     204.5027     169.1307      53.0580
0.6981      551.8760     700.9084     149.0325     755.8428     203.9669     167.3439      54.9344
0.7500      554.2558     700.9246     146.6688     757.7573     203.5014     165.6130      56.8327
0.8060      556.5386     700.9084     144.3698     759.5206     202.9820     163.9072      58.6122
0.8663      558.6918     700.8274     142.1356     761.0749     202.3830     162.2181      60.2474
0.9234      560.7317     700.8922     140.1605     762.4325     201.7007     160.6739      61.5402
0.9806      562.5288     700.8598     138.3310     763.6490     201.1202     159.2608      62.7892
1.0395      564.3744     700.8274     136.4530     765.2683     200.8939     157.9333      64.4409
1.1005      566.2038     700.8274     134.6236     766.4989     200.2951     156.5141      65.6715
1.1514      567.7742     700.8760     133.1018     767.4712     199.6969     155.3002      66.5951
1.1984      569.1827     700.8598     131.6771     768.5995     199.4168     154.2570      67.7397
1.2479      570.6884     700.8922     130.2038     769.4913     198.8029     153.0702      68.5991
1.3078      572.1940     700.8760     128.6820     770.8569     198.6629     152.0090      69.9809
1.3587      573.5540     700.8598     127.3059     771.6633     198.1093     150.9070      70.8035
1.4141      574.8006     700.8112     126.0107     772.5509     197.7503     149.9239      71.7396
1.4730      576.0310     700.8760     124.8450     773.3296     197.2986     148.9962      72.4535
1.5229      577.2614     700.8436     123.5822     774.1849     196.9235     148.0293      73.3413
1.5748      578.3947     700.8112     122.4166     774.9833     196.5886     147.1406      74.1720
1.6260      579.4794     700.8598     121.3804     775.6230     196.1436     146.3015      74.7631
1.6906      580.5317     700.8274     120.2957     776.2672     195.7355     145.4423      75.4398
1.7445      581.4707     700.8436     119.3729     777.1266     195.6559     144.8006      76.2830
1.7985      582.5716     700.8112     118.2396     777.8359     195.2643     143.9145      77.0247
1.8525      583.7211     700.8112     117.0901     778.4385     194.7174     142.9659      77.6273
1.9157      584.4334     700.7788     116.3454     778.6408     194.2073     142.2994      77.8619
1.9729      585.2591     700.7950     115.5359     779.5234     194.2643     141.7787      78.7283
2.0239      586.1495     700.8598     114.7103     780.2998     194.1503     141.1903      79.4400
2.0811      587.0238     700.7950     113.7713     780.4393     193.4155     140.3193      79.6443
2.1443      587.8333     700.7626     112.9294     781.3911     193.5578     139.8055      80.6284
2.1968      588.6104     700.7626     112.1523     781.9571     193.3467     139.2171      81.1944
2.2496      589.2418     700.7788     111.5371     782.0337     192.7920     138.6220      81.2549
2.3064      590.1160     700.8274     110.7114     782.5853     192.4693     137.9640      81.7579
2.3723      590.7960     700.7626     109.9667     783.2486     192.4526     137.4620      82.4860
2.4287      591.4598     700.7788     109.3191     783.7667     192.3070     136.9817      82.9879
2.4813      592.1235     700.8274     108.7039     783.9828     191.8593     136.4224      83.1554
2.5342      592.7711     700.7788     108.0077     784.8290     192.0579     136.0244      84.0502
2.5956      593.4997     700.8112     107.3116     785.0828     191.5832     135.4021      84.2716
2.6571      594.0501     700.8112     106.7611     785.5322     191.4821     135.0014      84.7209
2.7049      594.6329     700.7950     106.1621     786.0224     191.3894     134.5712      85.2273
2.7557      595.1672     700.8436     105.6764     786.3668     191.1996     134.1841      85.5232
2.8150      595.7662     700.7950     105.0288     786.8881     191.1219     133.7265      86.0930
2.8728      596.2843     700.7950     104.5107     787.1850     190.9007     133.3074      86.3899
2.9329      596.8671     700.7788     103.9117     787.5253     190.6582     132.8272      86.7465
2.9816      597.3690     700.8112     103.4422     787.9034     190.5344     132.4729      87.0922
3.0427      597.8385     700.7303     102.8917     788.2392     190.4007     132.0614      87.5089
3.0990      598.3080     700.8112     102.5032     788.4100     190.1020     131.7028      87.5988
3.1587      598.8585     700.7626     101.9042     788.6504     189.7920     131.2001      87.8878
3.2212      599.2794     700.8436     101.5642     788.9183     189.6389     130.9224      88.0746
3.2719      599.7327     700.7950     101.0623     789.2445     189.5118     130.5455      88.4495
3.3314      600.1860     700.7626     100.5766     789.6032     189.4172     130.1902      88.8406
3.3891      600.6393     700.7141     100.0747     790.1612     189.5219     129.8905      89.4472
3.4470      601.0117     700.7303      99.7186     790.3793     189.3676     129.6016      89.6490
3.4995      601.4002     700.7465      99.3462     790.5361     189.1359     129.2761      89.7897
3.5533      601.7726     700.7950      99.0224     790.9915     189.2189     129.0879      90.1964
3.6063      602.1773     700.7141      98.5367     791.2147     189.0374     128.7036      90.5006
3.6688      602.5983     700.7141      98.1158     791.5382     188.9400     128.3905      90.8242
3.7265      602.8897     700.7303      97.8406     791.8328     188.9431     128.2081      91.1026
3.7788      603.3268     700.7303      97.4034     791.9393     188.6125     127.8065      91.2091
3.8371      603.6506     700.7141      97.0635     792.3521     188.7015     127.6095      91.6380
3.8917      603.9744     700.7141      96.7397     792.3370     188.3625     127.2806      91.6229
3.9481      604.3791     700.6817      96.3025     792.8328     188.4536     127.0196      92.1511
4.0064      604.6868     700.6979      96.0111     793.0429     188.3562     126.7928      92.3450
4.0643      604.9458     700.6817      95.7359     793.1430     188.1972     126.5563      92.4613
4.1236      605.3182     700.6979      95.3797     793.4375     188.1194     126.2929      92.7396
4.1780      605.5772     700.6655      95.0883     793.3198     187.7426     125.9731      92.6543
4.2348      605.9172     700.6655      94.7483     794.0086     188.0914     125.8627      93.3431
4.2914      606.2248     700.6655      94.4407     793.9166     187.6918     125.5244      93.2511
4.3518      606.4352     700.6817      94.2464     794.5025     188.0673     125.5201      93.8209
4.4070      606.7914     700.6817      93.8903     794.7298     187.9384     125.2397      94.0482
4.4599      607.0666     700.7141      93.6474     794.8773     187.8106     125.0352      94.1632
4.5198      607.3742     700.6331      93.2588     795.0225     187.6482     124.7220      94.3894
4.5783      607.6009     700.7465      93.1456     795.2979     187.6970     124.6627      94.5514
4.6309      607.9247     700.6655      92.7408     795.2666     187.3419     124.2745      94.6011
4.6777      608.1352     700.7303      92.5951     795.3337     187.1986     124.1296      94.6035
4.7435      608.3618     700.7303      92.3684     795.8130     187.4512     124.0627      95.0828
4.8028      608.5885     700.6493      92.0608     796.1035     187.5150     123.8789      95.4542
4.8619      608.8637     700.7141      91.8504     796.1333     187.2697     123.6568      95.4193
4.9286      609.1713     700.6979      91.5266     796.4925     187.3212     123.4581      95.7946
4.9870      609.3656     700.6331      91.2675     796.7174     187.3519     123.2956      96.0844
5.0425      609.6408     700.6817      91.0409     796.8964     187.2556     123.1124      96.2147
5.0948      609.8189     700.6979      90.8790     796.7624     186.9435     122.9005      96.0645
5.1533      610.0455     700.6655      90.6199     797.0107     186.9652     122.7350      96.3453
5.2193      610.2884     700.7141      90.4257     797.5059     187.2175     122.6896      96.7918
5.2776      610.4827     700.6493      90.1666     797.4786     186.9959     122.4430      96.8293
5.3334      610.6931     700.7141      90.0209     797.8902     187.1971     122.4130      97.1762
5.3876      610.9198     700.6979      89.7781     797.9234     187.0036     122.1866      97.2255
5.4506      611.0817     700.6979      89.6162     798.1007     187.0191     122.0838      97.4029
5.5019      611.3407     700.6493      89.3086     798.0114     186.6707     121.7626      97.3621
5.5598      611.4702     700.6493      89.1790     797.8067     186.3365     121.5648      97.1574
5.6183      611.5998     700.6007      89.0009     798.4873     186.8876     121.6298      97.8866
5.6718      611.8750     700.5683      88.6933     798.6449     186.7699     121.3855      98.0766
5.7350      612.0693     700.6007      88.5314     798.9535     186.8842     121.3157      98.3528
5.7963      612.1664     700.6331      88.4667     798.6887     186.5223     121.1519      98.0556
5.8534      612.4578     700.5845      88.1267     799.0427     186.5849     120.9461      98.4582
5.8957      612.5388     700.5521      88.0134     799.3074     186.7687     120.9318      98.7553
5.9550      612.7492     700.4873      87.7381     799.4814     186.7322     120.7361      98.9940
6.0108      612.9111     700.5683      87.6572     799.7362     186.8251     120.7132      99.1679
6.0675      613.0892     700.5845      87.4953     799.9251     186.8359     120.6088      99.3406
6.1262      613.1702     700.6169      87.4467     799.6591     186.4890     120.4608      99.0422
6.1857      613.3968     700.5683      87.1715     800.0882     186.6914     120.3448      99.5199
6.2366      613.6397     700.6169      86.9772     799.8907     186.2510     120.0685      99.2738
6.2885      613.7206     700.5683      86.8477     800.4749     186.7543     120.1499      99.9066
6.3474      613.9311     700.5845      86.6534     800.6881     186.7570     120.0213     100.1036
6.4018      614.0768     700.5359      86.4591     800.5654     186.4886     119.8023     100.0295
6.4560      614.2063     700.5683      86.3620     800.6876     186.4813     119.7351     100.1193
6.5175      614.3034     700.6007      86.2973     801.1128     186.8094     119.8013     100.5121
6.5695      614.4977     700.6169      86.1192     801.3044     186.8067     119.6817     100.6875
6.6226      614.6758     700.6169      85.9411     801.3666     186.6908     119.5243     100.7497
6.6784      614.8053     700.5359      85.7306     801.4444     186.6391     119.3668     100.9085
6.7351      614.9025     700.5683      85.6659     801.6424     186.7400     119.3572     101.0741
6.7933      615.0643     700.6169      85.5525     801.8904     186.8260     119.3104     101.2735
6.8465      615.1939     700.5845      85.3906     801.6054     186.4116     119.0643     101.0209
6.8980      615.3881     700.5845      85.1964     801.7998     186.4117     118.9348     101.2153
6.9459      615.5177     700.5845      85.0668     801.9503     186.4327     118.8554     101.3658
7.0029      615.7605     700.6007      84.8402     801.9679     186.2074     118.6292     101.3672
7.0624      615.7605     700.5521      84.7916     802.4731     186.7126     118.7653     101.9210
7.1170      615.9224     700.5359      84.6135     802.5080     186.5856     118.6042     101.9721
7.1743      616.0357     700.6007      84.5650     802.2128     186.1771     118.4357     101.6122
7.2281      616.1814     700.6007      84.4193     802.5973     186.4159     118.4181     101.9967
7.2845      616.3271     700.5359      84.2088     802.7198     186.3926     118.2701     102.1839
7.3338      616.4890     700.5035      84.0145     802.7161     186.2271     118.0853     102.2126
7.3945      616.5052     700.5521      84.0469     803.0691     186.5639     118.2192     102.5170
7.4513      616.6348     700.6007      83.9659     803.2049     186.5701     118.1673     102.6042
7.5119      616.7481     700.5197      83.7716     803.2265     186.4784     118.0072     102.7068
7.5701      616.8938     700.5683      83.6745     803.1354     186.2417     117.8636     102.5671
7.6302      617.0233     700.5197      83.4964     803.1463     186.1230     117.7053     102.6266
7.6818      617.0557     700.5035      83.4478     803.6361     186.5805     117.8254     103.1326
7.7315      617.1852     700.4711      83.2859     803.7018     186.5166     117.6962     103.2307
7.7871      617.3471     700.5521      83.2050     803.4058     186.0587     117.4896     102.8537
7.8456      617.3633     700.5035      83.1402     803.4807     186.1174     117.4660     102.9772
7.8989      617.4442     700.4711      83.0269     803.9074     186.4632     117.5057     103.4363
7.9453      617.5899     700.5521      82.9622     804.0581     186.4681     117.4641     103.5060
8.0046      617.7357     700.4711      82.7355     804.0988     186.3632     117.2780     103.6277
8.0617      617.7518     700.5035      82.7517     804.1807     186.4289     117.3108     103.6772
8.1228      617.8004     700.5197      82.7193     804.2574     186.4570     117.2985     103.7376
8.1735      617.9623     700.4873      82.5250     804.5791     186.6168     117.2223     104.0918
8.2263      618.0594     700.4711      82.4117     804.3700     186.3106     117.0446     103.8989
8.2811      618.1404     700.4387      82.2983     804.5300     186.3896     116.9954     104.0912
8.3445      618.2213     700.5035      82.2822     804.9100     186.6887     117.0843     104.4065
8.4034      618.3347     700.4549      82.1203     804.7474     186.4128     116.8844     104.2925
8.4567      618.3509     700.4873      82.1365     804.8480     186.4971     116.9233     104.3606
8.5158      618.4804     700.4064      81.9260     804.6372     186.1568     116.6696     104.2308
8.5669      618.5613     700.4387      81.8774     804.8259     186.2646     116.6731     104.3871
8.6225      618.6585     700.4225      81.7641     804.9451     186.2866     116.6049     104.5225
8.6773      618.7232     700.4711      81.7479     805.3051     186.5818     116.6926     104.8339
8.7368      618.8204     700.4225      81.6022     805.1025     186.2821     116.4955     104.6799
8.7898      618.8851     700.5035      81.6184     805.1928     186.3077     116.5148     104.6893
8.8460      619.0146     700.4064      81.3917     805.4939     186.4793     116.4209     105.0876
8.9041      619.0956     700.4225      81.3270     805.1128     186.0172     116.2237     104.6902
8.9620      619.1118     700.4549      81.3432     805.0515     185.9397     116.2087     104.5965
9.0143      619.2737     700.4549      81.1813     805.5038     186.2301     116.1976     105.0489
9.0691      619.3546     700.4549      81.1003     805.4793     186.1247     116.1085     105.0244
9.1253      619.4518     700.5197      81.0680     805.8204     186.3687     116.1682     105.3007
9.1781      619.4679     700.4225      80.9546     805.6931     186.2252     116.0448     105.2706
9.2364      619.6298     700.4549      80.8251     805.9329     186.3031     115.9844     105.4780
9.2877      619.6946     700.4873      80.7927     806.2308     186.5362     116.0406     105.7435
9.3445      619.8079     700.5521      80.7442     806.4189     186.6110     116.0331     105.8668
9.4008      619.8403     700.4387      80.5984     806.0079     186.1676     115.7882     105.5692
9.4590      619.8727     700.4064      80.5337     805.9385     186.0658     115.7111     105.5322
9.5142      619.9536     700.4711      80.5175     806.4255     186.4718     115.8356     105.9543
9.5666      620.0346     700.4387      80.4042     806.5093     186.4747     115.7610     106.0705
9.6210      620.0993     700.4064      80.3070     806.5982     186.4989     115.7043     106.1919
9.6748      620.1641     700.4225      80.2584     806.5859     186.4218     115.6462     106.1634
9.7304      620.2127     700.4873      80.2747     806.7895     186.5768     115.7087     106.3022
9.7839      620.2936     700.4873      80.1937     806.9035     186.6098     115.6658     106.4161
9.8379      620.3746     700.4387      80.0642     806.9836     186.6090     115.5791     106.5448
9.8956      620.4231     700.4064      79.9832     806.8292     186.4061     115.4575     106.4229
9.9559      620.5203     700.3740      79.8537     806.7064     186.1861     115.2978     106.3324
10.0027     620.4879     700.4549      79.9670     806.9510     186.4631     115.4657     106.4960
10.0622     620.6336     700.3902      79.7565     806.7735     186.1399     115.2177     106.3834
10.1277     620.6660     700.3902      79.7242     806.6578     185.9918     115.1467     106.2676
10.1855     620.7307     700.3902      79.6594     807.2447     186.5140     115.2776     106.8546
10.2387     620.7793     700.3902      79.6108     806.3465     185.5672     114.9296     105.9563
10.2906     620.8765     700.3254      79.4489     807.2846     186.4081     115.1020     106.9592
10.3507     620.9574     700.3092      79.3518     807.4454     186.4880     115.0638     107.1362
10.4061     621.0222     700.4064      79.3842     807.5566     186.5344     115.1009     107.1503
