eps1         u           sigma3       sigma3'     sigma1       sigma1'      p           q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]        [kPa]       [kPa] 

0.0000      499.7571     600.0174    100.2603     603.6238     103.8667    101.4624       3.6064
0.0172      504.1931     600.0012     95.8081     610.1374     105.9443     99.1869      10.1362
0.0356      508.2567     600.0660     91.8093     615.2522     106.9955     96.8714      15.1863
0.0583      510.3775     600.0174     89.6398     618.2677     107.8902     95.7233      18.2503
0.0822      511.9318     600.0174     88.0856     620.5427     108.6110     94.9274      20.5254
0.1106      513.0974     600.0174     86.9200     622.6434     109.5460     94.4620      22.6260
0.1393      514.1336     600.0174     85.8838     624.5335     110.3999     94.0559      24.5161
0.1659      514.9916     600.0498     85.0582     626.1982     111.2066     93.7743      26.1485
0.1908      515.8982     600.0174     84.1192     627.7019     111.8037     93.3473      27.6846
0.2182      516.6268     599.9850     83.3582     629.0234     112.3966     93.0377      29.0384
0.2493      517.2582     599.9364     82.6782     630.2636     113.0054     92.7873      30.3271
0.2777      517.8572     599.9850     82.1278     631.4725     113.6153     92.6237      31.4875
0.3008      518.4562     599.9688     81.5126     632.5612     114.1050     92.3767      32.5924
0.3219      519.1200     600.0660     80.9460     633.6938     114.5738     92.1553      33.6278
0.3522      519.6542     599.9850     80.3308     634.7533     115.0991     91.9202      34.7684
0.3763      520.3180     600.0498     79.7318     636.0015     115.6835     91.7157      35.9517
0.4033      520.8685     600.0174     79.1489     637.2291     116.3606     91.5528      37.2117
0.4305      521.4189     600.0336     78.6147     638.4285     117.0095     91.4130      38.3949
0.4585      521.9856     600.0174     78.0318     639.4858     117.5002     91.1880      39.4684
0.4839      522.5198     599.9688     77.4490     640.4917     117.9718     90.9566      40.5229
0.5088      522.9407     599.9850     77.0442     641.3903     118.4496     90.8460      41.4054
0.5346      523.3455     599.9850     76.6395     642.2634     118.9179     90.7323      42.2784
0.5608      523.7017     599.9688     76.2671     643.0588     119.3571     90.6305      43.0900
0.5876      524.0255     600.0336     76.0081     643.9583     119.9329     90.6497      43.9247
0.6133      524.3978     599.9526     75.5548     644.7099     120.3121     90.4739      44.7573
0.6504      524.8349     600.0012     75.1662     645.4511     120.6161     90.3162      45.4499
0.6802      525.1264     599.9850     74.8586     646.2538     121.1274     90.2816      46.2688
0.7084      525.4987     599.9688     74.4701     646.9657     121.4670     90.1357      46.9969
0.7420      525.7739     600.0012     74.2272     647.7103     121.9364     90.1303      47.7091
0.7696      525.9682     599.8716     73.9034     648.1827     122.2145     90.0071      48.3111
0.7905      526.1463     599.9040     73.7577     648.8655     122.7192     90.0782      48.9615
0.8138      526.5187     599.9850     73.4663     649.5152     122.9966     89.9764      49.5302
0.8404      526.8587     599.9850     73.1263     649.9977     123.1390     89.7972      50.0127
0.8721      527.0691     599.9850     72.9159     650.6006     123.5315     89.7877      50.6156
0.8982      527.2472     599.9364     72.6892     651.1141     123.8669     89.7484      51.1777
0.9238      527.4577     599.8554     72.3978     651.5931     124.1354     89.6436      51.7376
0.9545      527.7653     599.9040     72.1387     652.1878     124.4225     89.5667      52.2838
0.9827      527.9757     600.0174     72.0416     652.8699     124.8941     89.6591      52.8525
1.0136      528.1700     599.9364     71.7664     653.2435     125.0735     89.5354      53.3071
1.0381      528.3481     599.8716     71.5235     653.6429     125.2948     89.4473      53.7713
1.0651      528.5262     599.9040     71.3778     654.1293     125.6031     89.4529      54.2253
1.0938      528.7528     599.9526     71.1998     654.6394     125.8866     89.4287      54.6868
1.1228      528.9633     599.9850     71.0217     655.0464     126.0831     89.3755      55.0614
1.1500      529.1576     600.0336     70.8760     655.5848     126.4272     89.3931      55.5512
1.1727      529.3681     600.0012     70.6331     655.9755     126.6074     89.2912      55.9743
1.2048      529.4814     599.9850     70.5036     656.3573     126.8759     89.2944      56.3723
1.2285      529.6757     600.0012     70.3255     656.8408     127.1652     89.2721      56.8396
1.2504      529.8214     599.9040     70.0826     657.2118     127.3904     89.1852      57.3078
1.2774      529.9509     599.9850     70.0341     657.6068     127.6559     89.2414      57.6218
1.3046      530.0642     599.9364     69.8722     657.8483     127.7841     89.1762      57.9119
1.3343      530.2099     599.9202     69.7103     658.2455     128.0356     89.1520      58.3253
1.3651      530.4042     599.9040     69.4998     658.5491     128.1449     89.0482      58.6451
1.3956      530.5013     599.8878     69.3865     658.8527     128.3514     89.0415      58.9649
1.4242      530.7118     599.9202     69.2084     659.2919     128.5801     88.9990      59.3717
1.4508      530.8251     599.9202     69.0951     659.6567     128.8316     89.0072      59.7365
1.4721      530.9546     599.9526     68.9980     659.9967     129.0420     89.0126      60.0441
1.5048      531.0194     599.9202     68.9008     660.3056     129.2862     89.0293      60.3854
1.5353      531.1489     599.8716     68.7227     660.6833     129.5343     88.9932      60.8116
1.5596      531.2461     599.8878     68.6418     660.9359     129.6898     88.9911      61.0480
1.5815      531.3756     599.8554     68.4798     661.2014     129.8259     88.9285      61.3460
1.6083      531.4889     599.8716     68.3827     661.4952     130.0063     88.9239      61.6236
1.6404      531.6022     599.9202     68.3180     661.8329     130.2306     88.9555      61.9127
1.6684      531.7965     599.8716     68.0751     662.1230     130.3265     88.8256      62.2514
1.6926      531.8775     599.8716     67.9942     662.4232     130.5457     88.8447      62.5515
1.7202      532.0394     599.8392     67.7999     662.6886     130.6492     88.7497      62.8494
1.7468      532.1041     599.9202     67.8161     663.0078     130.9037     88.8453      63.0876
1.7744      532.2498     599.8068     67.5570     663.2434     130.9936     88.7025      63.4365
1.8026      532.2984     599.8878     67.5894     663.5827     131.2843     88.8210      63.6949
1.8331      532.3793     599.8392     67.4599     663.7672     131.3879     88.7692      63.9280
1.8566      532.5089     599.9364     67.4275     664.1169     131.6080     88.8210      64.1805
1.8836      532.6222     599.8230     67.2008     664.3093     131.6871     88.6963      64.4862
1.9053      532.6708     599.8392     67.1685     664.5553     131.8846     88.7405      64.7161
1.9274      532.8003     599.8230     67.0228     664.8029     132.0026     88.6827      64.9799
1.9533      532.8974     599.8392     66.9418     665.0780     132.1806     88.6881      65.2388
1.9844      533.0107     599.7745     66.7637     665.2557     132.2450     88.5908      65.4813
2.0141      532.9298     599.6449     66.7151     665.4272     132.4974     88.6425      65.7823
2.0427      533.1564     599.8878     66.7314     665.8776     132.7211     88.7280      65.9898
2.0699      533.1241     599.7583     66.6342     665.9328     132.8087     88.6924      66.1745
2.0940      533.4155     599.8392     66.4237     666.2945     132.8791     88.5755      66.4553
2.1194      533.4641     599.8878     66.4238     666.5609     133.0969     88.6481      66.6731
2.1466      533.5612     599.9364     66.3752     666.8260     133.2648     88.6717      66.8896
2.1746      533.7393     599.9364     66.1971     667.0460     133.3067     88.5670      67.1096
2.2030      533.7555     599.8554     66.1000     667.2380     133.4826     88.5608      67.3826
2.2286      533.8688     599.8716     66.0028     667.4821     133.6133     88.5396      67.6104
2.2593      533.8364     599.8554     66.0190     667.6922     133.8557     88.6313      67.8367
2.2832      534.0307     599.8878     65.8571     667.9533     133.9226     88.5456      68.0654
2.3100      534.0955     599.8878     65.7924     668.1457     134.0503     88.5450      68.2579
2.3343      534.1440     599.8392     65.6952     668.2912     134.1472     88.5125      68.4520
2.3626      534.1926     599.8878     65.6952     668.5694     134.3768     88.5891      68.6816
2.3898      534.3221     599.8392     65.5171     668.7020     134.3799     88.4714      68.8627
2.4200      534.4031     599.8554     65.4524     668.9162     134.5132     88.4726      69.0608
2.4464      534.4678     599.8554     65.3876     669.1787     134.7108     88.4954      69.3232
2.4849      534.5002     599.8068     65.3066     669.3241     134.8239     88.4791      69.5173
2.5131      534.5973     599.8878     65.2905     669.5446     134.9473     88.5094      69.6568
2.5409      534.6783     599.8716     65.1933     669.7426     135.0643     88.4837      69.8709
2.5669      534.7107     599.8230     65.1124     669.9178     135.2072     88.4773      70.0948
2.5961      534.8564     599.8068     64.9505     670.0571     135.2007     88.3672      70.2502
2.6274      534.8078     599.8878     65.0800     670.3344     135.5266     88.5622      70.4466
2.6542      534.8726     599.8392     64.9667     670.4832     135.6107     88.5147      70.6440
2.6790      534.9697     599.8554     64.8857     670.7088     135.7391     88.5035      70.8534
2.7017      535.0992     599.8716     64.7724     670.9251     135.8259     88.4569      71.0535
2.7291      535.0992     599.8554     64.7562     671.0333     135.9341     88.4822      71.1779
2.7567      535.2287     599.9202     64.6915     671.3241     136.0954     88.4928      71.4039
2.7824      535.2611     599.8554     64.5943     671.4229     136.1618     88.4502      71.5675
2.8143      535.3421     599.8230     64.4810     671.6365     136.2944     88.4188      71.8135
2.8409      535.3421     599.7906     64.4486     671.7287     136.3866     88.4279      71.9380
2.8632      535.4392     599.8230     64.3838     671.9481     136.5090     88.4255      72.1251
2.8888      535.5201     599.7583     64.2381     671.9640     136.4439     88.3067      72.2058
2.9107      535.5363     599.7745     64.2381     672.2056     136.6692     88.3818      72.4311
2.9332      535.6335     599.7421     64.1086     672.3238     136.6903     88.3025      72.5817
2.9671      535.6011     599.7906     64.1896     672.6139     137.0128     88.4640      72.8232
3.0019      535.6659     599.7583     64.0924     672.7545     137.0886     88.4245      72.9962
3.0301      535.7306     599.8716     64.1410     672.9905     137.2599     88.5140      73.1189
3.0575      535.7954     599.7583     63.9629     673.0300     137.2347     88.3868      73.2718
3.0868      535.8601     599.7745     63.9143     673.2484     137.3882     88.4056      73.4739
3.1135      535.9249     599.8230     63.8982     673.4691     137.5442     88.4468      73.6461
3.1369      536.0058     599.7745     63.7686     673.5508     137.5450     88.3607      73.7764
3.1630      536.0058     599.7097     63.7038     673.7029     137.6970     88.3682      73.9932
3.1884      536.0706     599.7421     63.6715     673.8427     137.7721     88.3717      74.1006
3.2172      536.0220     599.7906     63.7686     674.0319     138.0099     88.5157      74.2412
3.2403      536.1354     599.6935     63.5581     674.1071     137.9717     88.3627      74.4136
3.2686      536.2325     599.7259     63.4934     674.2994     138.0669     88.3512      74.5735
3.3058      536.2649     599.7097     63.4448     674.4086     138.1437     88.3444      74.6989
3.3369      536.3134     599.7259     63.4124     674.6033     138.2899     88.3716      74.8775
3.3639      536.3458     599.7097     63.3639     674.7814     138.4356     88.3878      75.0717
3.3933      536.4268     599.7421     63.3153     674.8922     138.4654     88.3653      75.1501
3.4222      536.4915     599.7583     63.2667     675.0398     138.5483     88.3606      75.2816
3.4475      536.4430     599.7906     63.3477     675.2211     138.7781     88.4912      75.4304
3.4727      536.5563     599.7745     63.2182     675.3095     138.7533     88.3965      75.5351
3.5023      536.5725     599.7583     63.1858     675.5082     138.9357     88.4358      75.7499
3.5269      536.6534     599.7745     63.1210     675.6715     139.0181     88.4200      75.8970
3.5557      536.7506     599.7097     62.9591     675.8030     139.0524     88.3235      76.0933
3.5843      536.7829     599.7421     62.9591     675.9159     139.1330     88.3504      76.1739
3.6097      536.7668     599.7259     62.9591     676.0501     139.2834     88.4005      76.3243
3.6342      536.7668     599.7583     62.9915     676.2356     139.4688     88.4840      76.4773
3.6649      536.8153     599.7745     62.9591     676.3704     139.5551     88.4911      76.5960
3.6944      536.8639     599.8392     62.9753     676.5316     139.6678     88.5395      76.6924
3.7228      536.8963     599.7583     62.8620     676.5520     139.6558     88.4599      76.7938
3.7478      536.8963     599.6935     62.7972     676.6523     139.7560     88.4501      76.9588
3.7729      537.0096     599.7583     62.7487     676.9196     139.9100     88.4691      77.1613
3.8011      537.0096     599.6773     62.6677     676.9756     139.9660     88.4338      77.2983
3.8312      537.0420     599.6773     62.6353     677.0963     140.0543     88.4416      77.4190
3.8578      537.1391     599.6773     62.5382     677.2344     140.0953     88.3905      77.5571
3.8874      537.1067     599.6935     62.5867     677.4008     140.2941     88.4892      77.7073
3.9163      537.1391     599.7097     62.5706     677.5279     140.3888     88.5100      77.8183
3.9443      537.1877     599.7583     62.5706     677.6880     140.5004     88.5472      77.9298
3.9688      537.2039     599.7583     62.5544     677.8002     140.5963     88.5684      78.0419
3.9971      537.2524     599.7583     62.5058     677.9470     140.6946     88.5687      78.1888
4.0185      537.2686     599.6935     62.4248     678.0156     140.7470     88.5322      78.3221
4.0437      537.3658     599.6935     62.3277     678.1794     140.8137     88.4897      78.4859
4.0709      537.3172     599.7583     62.4411     678.3455     141.0283     88.6368      78.5873
4.1040      537.3658     599.7906     62.4249     678.6313     141.2655     88.7051      78.8406
4.1298      537.4467     599.7259     62.2791     678.5621     141.1153     88.5579      78.8362
4.1554      537.4629     599.8068     62.3439     678.8229     141.3600     88.6826      79.0160
4.1836      537.5277     599.6935     62.1658     678.7866     141.2590     88.5302      79.0932
4.2102      537.4305     599.6611     62.2306     678.8473     141.4168     88.6260      79.1862
4.2376      537.6086     599.7745     62.1658     679.1053     141.4966     88.6094      79.3308
4.2609      537.5277     599.8068     62.2792     679.2458     141.7182     88.7588      79.4390
4.2873      537.6410     599.7259     62.0849     679.2892     141.6482     88.6060      79.5634
4.3163      537.6572     599.6935     62.0363     679.4081     141.7510     88.6078      79.7147
4.3441      537.6410     599.7097     62.0687     679.5306     141.8896     88.6757      79.8210
4.3738      537.7705     599.6773     61.9068     679.5528     141.7823     88.5319      79.8755
4.3987      537.6572     599.7259     62.0687     679.8060     142.1488     88.7620      80.0801
4.4267      537.7058     599.6935     61.9877     679.8795     142.1737     88.7164      80.1860
4.4556      537.7705     599.7097     61.9392     679.6671     141.8965     88.5916      79.9574
4.4858      537.7543     599.6449     61.8906     680.0023     142.2480     88.6764      80.3574
4.5077      537.7058     599.6773     61.9715     680.1289     142.4231     88.7887      80.4516
4.5341      537.8029     599.7259     61.9230     680.3282     142.5253     88.7904      80.6023
4.5623      537.7705     599.6287     61.8582     680.3676     142.5971     88.7712      80.7389
4.5924      537.8353     599.6611     61.8258     680.5412     142.7059     88.7858      80.8801
4.6167      537.9162     599.6287     61.7125     680.5590     142.6427     88.6892      80.9303
4.6431      537.9162     599.6449     61.7287     680.7651     142.8489     88.7687      81.1202
4.6711      537.9972     599.6125     61.6153     680.7984     142.8012     88.6773      81.1859
4.6973      537.9486     599.6125     61.6639     680.9363     142.9877     88.7718      81.3238
4.7212      537.9162     599.6611     61.7449     681.0435     143.1273     88.8723      81.3824
4.7487      537.9162     599.5963     61.6801     681.0509     143.1347     88.8316      81.4546
4.7716      537.9324     599.6773     61.7449     681.2807     143.3483     88.9460      81.6034
4.7961      537.9972     599.6125     61.6153     681.2822     143.2850     88.8386      81.6697
4.8249      538.0619     599.6935     61.6315     681.5587     143.4967     88.9199      81.8652
4.8525      538.0781     599.6773     61.5992     681.6330     143.5548     88.9177      81.9557
4.8820      538.0457     599.6773     61.6315     681.7343     143.6885     88.9839      82.0570
4.9127      538.0295     599.5963     61.5668     681.7410     143.7114     88.9483      82.1447
4.9438      538.0457     599.6125     61.5668     681.8714     143.8257     88.9864      82.2589
4.9671      538.0943     599.5963     61.5020     681.9803     143.8860     88.9633      82.3840
4.9898      538.0619     599.5963     61.5344     682.1120     144.0501     89.0396      82.5157
5.0155      538.1267     599.5801     61.4534     682.2393     144.1126     89.0065      82.6592
