eps1         u           sigma3       sigma3'      sigma1       sigma1'      p           q
[%]         [kPa]        [kPa]        [kPa]        [kPa]        [kPa]        [kPa]       [kPa] 

0.0000      501.3619     800.1641     298.8023     801.4289     300.0670     299.2238      1.2648
0.0067      502.8660     800.1304     297.2644     803.2796     300.4136     298.3141      3.1492
0.0236      505.6367     800.1304     294.4937     806.1991     300.5624     296.5166      6.0687
0.0466      508.7127     800.1641     291.4514     809.3380     300.6253     294.5094      9.1739
0.0712      512.8971     800.1979     287.3009     813.8190     300.9220     291.8412     13.6211
0.0946      517.0362     800.1979     283.1618     818.1542     301.1180     289.1472     17.9562
0.1199      524.6132     800.1641     275.5509     826.1518     301.5386     284.2135     25.9877
0.1458      531.0480     800.1979     269.1499     832.5620     301.5140     279.9379     32.3640
0.1725      536.6007     800.1641     263.5634     837.5586     300.9579     276.0282     37.3945
0.1965      540.2988     800.1304     259.8316     840.2768     299.9780     273.2137     40.1464
0.2214      543.7593     800.0966     256.3372     842.8833     299.1239     270.5995     42.7867
0.2479      546.9711     800.0966     253.1255     845.3126     298.3415     268.1975     45.2160
0.2744      550.0585     800.1304     250.0719     847.6425     297.5840     265.9093     47.5121
0.3043      552.8744     800.0628     247.1884     849.6264     296.7520     263.7096     49.5636
0.3308      555.5772     800.0966     244.5193     851.6682     296.0910     261.7099     51.5717
0.3569      558.0992     800.0628     241.9636     853.4220     295.3228     259.7500     53.3592
0.3808      560.5419     800.0966     239.5547     855.2107     294.6688     257.9261     55.1142
0.4048      562.8829     800.0628     237.1799     856.8760     293.9932     256.1177     56.8133
0.4325      565.2577     800.0628     234.8050     858.5611     293.3034     254.3045     58.4983
0.4612      567.4404     800.0628     232.6224     860.0582     292.6178     252.6209     59.9955
0.4879      569.6683     800.0290     230.3607     861.5767     291.9084     250.8766     61.5477
0.5207      571.8170     800.0290     228.2120     863.0585     291.2415     249.2218     63.0295
0.5533      573.7847     800.0628     226.2780     864.4198     290.6350     247.7304     64.3570
0.5800      575.6168     800.0628     224.4460     865.6188     290.0020     246.2980     65.5560
0.6051      577.3245     800.0628     222.7383     866.7634     289.4390     244.9719     66.7007
0.6293      578.9756     800.0628     221.0872     867.8533     288.8778     243.6841     67.7906
0.6531      580.6380     800.0628     219.4248     868.9758     288.3378     242.3958     68.9130
0.6763      582.3456     800.0290     217.6833     870.1192     287.7735     241.0467     70.0902
0.7055      583.9289     800.0290     216.1001     871.1382     287.2093     239.8031     71.1092
0.7373      585.5913     800.0290     214.4377     872.2204     286.6291     238.5015     72.1914
0.7659      587.1746     799.9952     212.8206     873.2376     286.0630     237.2347     73.2424
0.7926      588.7126     799.9952     211.2826     874.2894     285.5768     236.0473     74.2942
0.8183      590.1715     800.0290     209.8575     875.2768     285.1054     234.9401     75.2479
0.8411      591.5964     799.9952     208.3988     876.2203     284.6239     233.8071     76.2251
0.8687      592.9874     799.9952     207.0078     877.2370     284.2496     232.7551     77.2419
0.8925      594.4010     799.9952     205.5941     878.2343     283.8333     231.6739     78.2391
0.9184      595.8260     799.9952     204.1692     879.2731     283.4472     230.5952     79.2780
0.9432      597.2735     799.9952     202.7217     880.3450     283.0715     229.5049     80.3498
0.9712      598.7663     799.9952     201.2289     881.4683     282.7020     228.3866     81.4731
0.9977      600.2365     799.9614     199.7249     882.6020     282.3656     227.2718     82.6407
1.0261      601.7067     799.9276     198.2209     883.8644     282.1578     226.1999     83.9368
1.0550      603.2899     799.9614     196.6715     885.2697     281.9797     225.1076     85.3083
1.0819      604.8053     799.9614     195.1561     886.5329     281.7276     224.0132     86.5715
1.1051      606.2303     799.9614     193.7311     887.7769     281.5467     223.0030     87.8156
1.1289      607.6100     799.9614     192.3514     888.8237     281.2138     221.9722     88.8623
1.1590      608.9783     799.9276     190.9493     889.9067     280.9284     220.9423     89.9791
1.1861      610.3354     799.9276     189.5922     890.9711     280.6357     219.9400     91.0435
1.2137      611.6586     799.9276     188.2690     892.0127     280.3541     218.9640     92.0851
1.2390      612.9252     799.9276     187.0024     892.9687     280.0436     218.0161     93.0411
1.2686      614.1805     799.9276     185.7471     894.0072     279.8267     217.1070     94.0796
1.3027      615.4019     799.9276     184.5258     894.8885     279.4866     216.1794     94.9609
1.3292      616.4988     799.9276     183.4288     895.6677     279.1689     215.3421     95.7401
1.3524      617.5845     799.9276     182.3431     896.4498     278.8653     214.5172     96.5222
1.3793      618.6249     799.8938     181.2689     897.1070     278.4821     213.6733     97.2132
1.4056      619.6314     799.8938     180.2624     897.8743     278.2429     212.9226     97.9805
1.4324      620.6492     799.8938     179.2446     898.5647     277.9155     212.1349     98.6709
1.4622      621.6331     799.8938     178.2607     899.3494     277.7162     211.4125     99.4555
1.4894      622.6735     799.8938     177.2203     900.0928     277.4193     210.6199     100.1990
1.5167      623.6348     799.9276     176.2928     900.8152     277.1804     209.9220     100.8876
1.5422      624.6074     799.9276     175.3202     901.4836     276.8762     209.1722     101.5559
1.5662      625.4669     799.8938     174.4269     902.0542     276.5874     208.4804     102.1604
1.5938      626.3377     799.8938     173.5562     902.6221     276.2845     207.7989     102.7283
1.6212      627.1519     799.9276     172.7757     903.2345     276.0826     207.2113     103.3069
1.6473      627.9888     799.9276     171.9388     903.8033     275.8145     206.5641     103.8757
1.6719      628.7691     799.8938     171.1247     904.2962     275.5271     205.9255     104.4024
1.7037      629.6173     799.8938     170.2765     904.8908     275.2736     205.2756     104.9970
1.7331      630.4202     799.8938     169.4736     905.4334     275.0132     204.6535     105.5396
1.7574      631.1779     799.8938     168.7159     905.9921     274.8142     204.0820     106.0983
1.7828      631.9469     799.8600     167.9131     906.4612     274.5143     203.4468     106.6012
1.8121      632.6481     799.8262     167.1781     906.9259     274.2778     202.8780     107.0997
1.8363      633.3492     799.8262     166.4770     907.3647     274.0155     202.3231     107.5385
1.8635      634.0504     799.8262     165.7758     907.8866     273.8362     201.7959     108.0603
1.8879      634.7176     799.8262     165.1086     908.3355     273.6178     201.2783     108.5092
1.9117      635.3849     799.8262     164.4414     908.7307     273.3459     200.7429     108.9045
1.9363      636.0634     799.7924     163.7290     909.1776     273.1142     200.1907     109.3851
1.9608      636.7306     799.8262     163.0956     909.6703     272.9397     199.7103     109.8441
1.9923      637.3865     799.8600     162.4735     910.1549     272.7683     199.2384     110.2948
2.0239      637.9859     799.7924     161.8065     910.4729     272.4870     198.7000     110.6805
2.0512      638.5966     799.8600     161.2634     910.9954     272.3988     198.3085     111.1354
2.0809      639.1621     799.8600     160.6980     911.3610     272.1990     197.8650     111.5010
2.1072      639.7841     799.8600     160.0760     911.7842     272.0002     197.3840     111.9242
2.1375      640.3721     799.8262     159.4541     912.1149     271.7428     196.8837     112.2887
2.1625      640.8923     799.8600     158.9677     912.5405     271.6481     196.5278     112.6804
2.1889      641.4126     799.8600     158.4475     912.8767     271.4641     196.1197     113.0167
2.2148      641.9893     799.8600     157.8707     913.2671     271.2778     195.6731     113.4070
2.2402      642.5435     799.8262     157.2828     913.6778     271.1343     195.2333     113.8516
2.2697      643.0976     799.8600     156.7624     914.0758     270.9782     194.8344     114.2158
2.2993      643.6178     799.8262     156.2084     914.3627     270.7449     194.3873     114.5365
2.3303      644.1719     799.7924     155.6205     914.7448     270.5729     193.9379     114.9524
2.3637      644.6695     799.7586     155.0891     915.0591     270.3895     193.5226     115.3004
2.3940      645.1558     799.7586     154.6028     915.3245     270.1687     193.1248     115.5659
2.4192      645.6195     799.7249     154.1054     915.6372     270.0177     192.7428     115.9124
2.4443      646.0945     799.6911     153.5966     915.9070     269.8125     192.3352     116.2159
2.4696      646.5355     799.7249     153.1893     916.1901     269.6546     192.0111     116.4653
2.4923      647.0557     799.6911     152.6353     916.5805     269.5248     191.5985     116.8895
2.5230      647.4742     799.6911     152.2169     916.8768     269.4026     191.2788     117.1857
2.5512      647.9944     799.7249     151.7305     917.3170     269.3226     190.9278     117.5922
2.5786      648.4241     799.7249     151.3007     917.5846     269.1605     190.5873     117.8598
2.6068      648.8652     799.6911     150.8259     917.8602     268.9950     190.2156     118.1692
2.6327      649.2836     799.6573     150.3737     918.1491     268.8655     189.8709     118.4919
2.6586      649.7021     799.6911     149.9890     918.4625     268.7605     189.5795     118.7715
2.6859      650.1205     799.6911     149.5706     918.7509     268.6304     189.2572     119.0599
2.7060      650.4937     799.6911     149.1974     918.9623     268.4686     188.9545     119.2712
2.7300      650.9573     799.6573     148.6999     919.2636     268.3062     188.5687     119.6063
2.7582      651.3532     799.6573     148.3041     919.5826     268.2294     188.2792     119.9253
2.7879      651.7942     799.6573     147.8631     919.9317     268.1375     187.9545     120.2744
2.8179      652.1561     799.6573     147.5012     920.1622     268.0061     187.6695     120.5050
2.8411      652.5293     799.6573     147.1280     920.4869     267.9576     187.4045     120.8296
2.8687      652.9364     799.6573     146.7208     920.7202     267.7838     187.0752     121.0630
2.8969      653.3549     799.6573     146.3024     921.0168     267.6620     186.7556     121.3596
2.9220      653.6489     799.6235     145.9746     921.2299     267.5810     186.5101     121.6064
2.9522      654.0334     799.5897     145.5563     921.4149     267.3815     186.1647     121.8252
2.9771      654.3953     799.5897     145.1944     921.6724     267.2771     185.8886     122.0827
3.0091      654.7798     799.5897     144.8099     921.9743     267.1945     185.6048     122.3846
3.0352      655.1417     799.6235     144.4818     922.3064     267.1647     185.3761     122.6829
3.0661      655.4696     799.5897     144.1200     922.5433     267.0737     185.1046     122.9536
3.0905      655.8315     799.5559     143.7244     922.7776     266.9461     184.7983     123.2217
3.1193      656.1369     799.5559     143.4190     923.0186     266.8817     184.5732     123.4627
3.1446      656.4422     799.5897     143.1475     923.3191     266.8768     184.3906     123.7294
3.1709      656.8267     799.5559     142.7292     923.5078     266.6810     184.0465     123.9519
3.1968      657.1208     799.6235     142.5027     923.7449     266.6242     183.8765     124.1214
3.2242      657.4261     799.5897     142.1636     923.9427     266.5166     183.6146     124.3530
3.2476      657.6862     799.5897     141.9035     924.1366     266.4504     183.4191     124.5469
3.2749      658.0368     799.6235     141.5867     924.4656     266.4288     183.2007     124.8421
3.3000      658.3534     799.5897     141.2362     924.6446     266.2912     182.9212     125.0549
3.3259      658.6588     799.5559     140.8971     924.8863     266.2275     182.6739     125.3304
3.3528      658.9641     799.5559     140.5918     925.1177     266.1535     182.4457     125.5618
3.3825      659.2695     799.5897     140.3202     925.4430     266.1736     182.2713     125.8534
3.4094      659.5522     799.5559     140.0037     925.5977     266.0455     182.0176     126.0418
3.4383      659.8236     799.5221     139.6985     925.7604     265.9368     181.7779     126.2383
3.4637      660.0611     799.5559     139.4948     925.9950     265.9339     181.6412     126.4391
3.4873      660.3664     799.5559     139.1895     926.1981     265.8317     181.4035     126.6422
3.5120      660.6265     799.5221     138.8956     926.4085     265.7819     181.1910     126.8864
3.5391      660.9093     799.4883     138.5790     926.6154     265.7061     180.9547     127.1271
3.5673      661.2598     799.4883     138.2285     926.8864     265.6266     180.6945     127.3981
3.5930      661.4747     799.5221     138.0474     927.0669     265.5922     180.5623     127.5448
3.6212      661.7461     799.4883     137.7422     927.3039     265.5577     180.3474     127.8156
3.6500      662.0062     799.4883     137.4821     927.4462     265.4399     180.1347     127.9579
3.6762      662.2890     799.4883     137.1993     927.6557     265.3667     179.9218     128.1674
3.7002      662.5378     799.5221     136.9843     927.8698     265.3320     179.7669     128.3477
3.7282      662.7866     799.5221     136.7355     928.0447     265.2581     179.5764     128.5226
3.7582      663.0014     799.4883     136.4869     928.2359     265.2345     179.4027     128.7476
3.7846      663.3181     799.5221     136.2040     928.5102     265.1921     179.2001     128.9881
3.8090      663.5669     799.4883     135.9214     928.7511     265.1842     179.0090     129.2628
3.8357      663.7818     799.4545     135.6728     928.9040     265.1222     178.8226     129.4495
3.8698      663.9966     799.4883     135.4917     929.1250     265.1284     178.7039     129.6367
3.8978      664.2794     799.4545     135.1752     929.2971     265.0177     178.4560     129.8426
3.9234      664.4716     799.4545     134.9829     929.4848     265.0132     178.3263     130.0302
3.9481      664.6978     799.4545     134.7567     929.6843     264.9865     178.1667     130.2298
3.9717      664.9013     799.4545     134.5532     929.8216     264.9203     178.0089     130.3671
3.9993      665.1049     799.4545     134.3496     929.9429     264.8380     177.8457     130.4884
4.0256      665.3424     799.4207     134.0783     930.1166     264.7742     177.6436     130.6959
4.0548      665.5912     799.4207     133.8295     930.3729     264.7817     177.4803     130.9522
4.0849      665.8061     799.4207     133.6147     930.5433     264.7372     177.3222     131.1226
4.1160      666.0322     799.4207     133.3885     930.7861     264.7538     177.1769     131.3654
4.1444      666.2019     799.3869     133.1851     930.9035     264.7016     177.0239     131.5166
4.1751      666.4394     799.3869     132.9476     931.1149     264.6755     176.8569     131.7279
4.2010      666.6203     799.3869     132.7666     931.2693     264.6490     176.7274     131.8824
4.2292      666.8126     799.4207     132.6082     931.4543     264.6417     176.6193     132.0336
4.2516      666.9935     799.3869     132.3934     931.5691     264.5756     176.4541     132.1822
4.2758      667.2084     799.3869     132.1785     931.7150     264.5066     176.2879     132.3281
4.3107      667.4346     799.3869     131.9524     931.9199     264.4853     176.1300     132.5330
4.3378      667.6042     799.3869     131.7827     932.1248     264.5206     176.0287     132.7378
4.3658      667.8417     799.3869     131.5452     932.3916     264.5499     175.8801     133.0047
4.3930      667.9887     799.3869     131.3982     932.5330     264.5443     175.7802     133.1461
4.4220      668.2036     799.3869     131.1834     932.6822     264.4786     175.6151     133.2952
4.4508      668.3619     799.3531     130.9912     932.8293     264.4674     175.4833     133.4762
4.4746      668.5089     799.3531     130.8442     932.9750     264.4661     175.3849     133.6219
4.5009      668.7012     799.3531     130.6520     933.1066     264.4055     175.2365     133.7535
4.5277      668.8821     799.3531     130.4710     933.2270     264.3449     175.0957     133.8739
4.5511      669.0517     799.3193     130.2676     933.3919     264.3401     174.9584     134.0725
4.5797      669.2101     799.3531     130.1431     933.5643     264.3542     174.8801     134.2111
4.6089      669.4363     799.3193     129.8831     933.7837     264.3475     174.7045     134.4644
4.6359      669.5833     799.3531     129.7699     933.9582     264.3749     174.6382     134.6051
4.6611      669.7642     799.3869     129.6227     934.1665     264.4023     174.5492     134.7795
4.6908      669.9112     799.3531     129.4419     934.2693     264.3581     174.4140     134.9162
4.7188      670.0922     799.3869     129.2948     934.4840     264.3919     174.3271     135.0971
4.7472      670.2279     799.3531     129.1253     934.5674     264.3396     174.1967     135.2143
4.7764      670.3523     799.3531     129.0009     934.7253     264.3731     174.1249     135.3722
4.8042      670.5672     799.3869     128.8198     934.9085     264.3413     173.9936     135.5216
4.8295      670.7255     799.3531     128.6277     935.0695     264.3440     173.8664     135.7163
4.8577      670.8612     799.3193     128.4582     935.2157     264.3545     173.7569     135.8963
4.8888      671.0308     799.3193     128.2885     935.3494     264.3186     173.6319     136.0301
4.9147      671.2118     799.2856     128.0738     935.4987     264.2869     173.4782     136.2131
4.9400      671.3362     799.2856     127.9494     935.6092     264.2730     173.3906     136.3236
4.9671      671.5171     799.3193     127.8022     935.8449     264.3278     173.3108     136.5256
