eps1         u           sigma3       sigma3'      sigma1       sigma1'      p             q
[%]         [kPa]        [kPa]        [kPa]        [kPa]        [kPa]        [kPa]         [kPa] 

0.0000      499.7882     700.1918     200.4036     698.0989     198.3107     199.7060     -2.0929
0.0397      503.6899     700.1756     196.4857     703.9534     200.2635     197.7449      3.7778
0.0794      511.6229     700.2080     188.5851     712.1451     200.5222     192.5642      11.9371
0.1398      519.9444     700.1108     180.1664     720.0330     200.0886     186.8072      19.9222
0.4028      545.3136     700.0460     154.7324     754.7810     209.4674     172.9774      54.7350
0.6685      559.1882     700.0622     140.8740     768.1766     208.9884     163.5788      68.1144
0.9466      567.3640     700.0946     132.7306     774.7848     207.4208     157.6273      74.6902
1.2117      573.9046     700.0622     126.1576     779.7151     205.8104     152.7085      79.6529
1.4906      579.0368     700.1270     121.0902     783.4180     204.3812     148.8539      83.2910
1.7614      583.5537     700.1270     116.5733     786.7785     203.2248     145.4571      86.6515
2.0352      587.4392     700.0946     112.6554     789.5272     202.0880     142.4662      89.4326
2.3054      590.7581     700.1918     109.4337     792.1795     201.4214     140.0962      91.9877
2.5853      593.4942     700.2080     106.7138     794.2535     200.7593     138.0623      94.0455
2.8617      595.9388     700.1270     104.1882     796.0418     200.1029     136.1598      95.9148
3.1353      598.1244     700.1756     102.0511     797.8369     199.7125     134.6049      97.6614
3.4065      600.0024     700.1270     100.1246     799.3159     199.3135     133.1875      99.1889
3.6778      601.6862     700.2080      98.5218     800.8821     199.1960     132.0799     100.6742
3.9503      603.2242     700.0946      96.8704     802.0580     198.8338     130.8582     101.9634
4.2232      604.5517     700.1432      95.5914     803.4025     198.8508     130.0112     103.2593
4.5007      605.7983     700.1918      94.3934     804.5733     198.7750     129.1873     104.3816
4.7641      606.8507     700.1594      93.3087     805.6624     198.8117     128.4764     105.5030
5.0296      607.9678     700.1432      92.1754     806.6782     198.7104     127.6871     106.5350
5.3013      608.8096     700.0784      91.2688     807.5993     198.7897     127.1091     107.5209
5.5662      609.7001     700.1594      90.4593     808.6192     198.9191     126.6126     108.4598
5.8276      610.4286     700.1108      89.6822     809.4987     199.0701     126.1448     109.3879
6.1052      611.1409     700.1270      88.9860     810.3622     199.2212     125.7311     110.2352
6.3837      611.8533     700.1270      88.2737     811.1468     199.2935     125.2803     111.0198
6.6400      612.4847     700.0946      87.6099     811.9189     199.4343     124.8847     111.8244
6.9110      613.0028     700.1108      87.1080     812.7235     199.7207     124.6456     112.6127
7.1708      613.5370     700.1432      86.6062     813.5128     199.9758     124.3960     113.3696
7.4295      614.1037     700.1918      86.0881     814.2903     200.1867     124.1210     114.0985
7.6942      614.5084     700.1756      85.6672     814.9281     200.4197     123.9180     114.7525
7.9702      614.8484     700.0298      85.1814     815.4934     200.6450     123.6693     115.4636
8.2363      615.2046     700.0622      84.8576     816.1663     200.9618     123.5590     116.1041
8.5008      615.6093     700.0136      84.4043     816.7088     201.0995     123.3027     116.6952
8.7649      615.9817     700.1432      84.1615     817.5009     201.5192     123.2808     117.3577
9.0327      616.3055     700.0946      83.7891     818.0510     201.7456     123.1079     117.9564
9.2891      616.5969     700.1594      83.5625     818.7237     202.1269     123.0840     118.5644
9.5624      616.8397     700.1108      83.2711     819.2253     202.3856     122.9759     119.1145
9.8232      617.0502     700.0946      83.0444     819.7931     202.7429     122.9439     119.6985
10.0904     617.3092     700.1432      82.8340     820.3441     203.0348     122.9009     120.2009
10.3538     617.4549     700.1270      82.6721     820.8526     203.3977     122.9139     120.7256
10.6175     617.6492     700.1594      82.5102     821.3670     203.7178     122.9127     121.2076
10.8859     617.8759     700.1108      82.2349     821.8188     203.9429     122.8043     121.7080
11.1411     618.0539     700.1108      82.0568     822.2875     204.2335     122.7824     122.1767
11.4105     618.1511     700.0946      81.9435     822.5156     204.3646     122.7505     122.4211
11.6748     618.2482     700.0784      81.8302     822.8875     204.6393     122.7666     122.8091
11.9504     618.3615     700.0784      81.7168     823.2406     204.8790     122.7709     123.1622
12.2159     618.4749     700.1270      81.6521     823.6958     205.2209     122.8417     123.5688
12.4929     618.5234     700.0946      81.5711     823.9393     205.4158     122.8527     123.8447
12.7541     618.6044     700.0946      81.4902     824.2845     205.6801     122.8868     124.1899
13.0291     618.6530     700.0946      81.4416     824.4894     205.8364     122.9066     124.3948
13.3041     618.6853     700.1432      81.4578     824.7898     206.1045     123.0067     124.6467
13.5842     618.7663     700.0946      81.3283     824.9021     206.1358     122.9308     124.8075
13.8532     618.7825     700.0622      81.2797     825.0502     206.2678     122.9424     124.9880
14.1253     618.8149     700.0946      81.2797     825.1761     206.3613     122.9736     125.0815
14.3869     618.8149     700.1594      81.3445     825.2894     206.4745     123.0545     125.1300
14.6641     618.7825     700.0946      81.3121     825.2618     206.4793     123.0345     125.1672
14.9290     618.7663     700.1270      81.3607     823.7177     204.9515     122.5576     123.5908
15.2099     619.1063     700.0622      80.9559     823.5639     204.4576     122.1231     123.5017
15.4753     619.1872     700.0460      80.8588     823.5358     204.3486     122.0220     123.4898
15.7504     619.2196     700.0784      80.8588     823.3001     204.0805     121.9327     123.2217
16.0248     619.2520     700.0298      80.7778     823.2785     204.0265     121.8607     123.2487
16.2918     619.2034     700.0784      80.8750     823.4041     204.2007     121.9836     123.3257
16.5639     619.3005     700.1108      80.8102     823.4333     204.1328     121.9178     123.3225
16.8381     619.2196     700.0622      80.8426     823.3063     204.0867     121.9240     123.2441
17.1046     619.1710     700.1108      80.9398     823.3480     204.1769     122.0188     123.2372
17.3809     619.1548     700.0622      80.9074     823.1718     204.0170     121.9439     123.1096
17.6401     619.1872     700.0298      80.8426     822.9805     203.7933     121.8262     122.9507
17.9166     619.0415     700.0946      81.0531     822.6806     203.6391     121.9151     122.5860
18.1803     619.0415     700.0622      81.0207     822.4186     203.3770     121.8061     122.3564
18.4480     618.9606     700.0946      81.1340     822.1051     203.1445     121.8042     122.0105
18.7204     619.0415     700.0946      81.0531     821.7248     202.6833     121.5965     121.6302
18.9861     619.0901     700.0784      80.9883     821.2975     202.2074     121.3947     121.2191
19.2478     619.1063     700.0946      80.9883     820.8883     201.7821     121.2529     120.7937
19.5112     619.1710     700.1270      80.9560     820.4594     201.2883     121.0667     120.3324
19.7876     618.9606     700.1594      81.1988     820.0048     201.0442     121.1473     119.8454
20.0502     618.9768     700.1108      81.1340     819.3699     200.3932     120.8871     119.2591
20.3221     618.7501     700.0460      81.2959     818.4532     199.7031     120.7650     118.4072
20.5948     618.7825     700.1108      81.3283     817.7011     198.9186     120.5251     117.5903
20.8618     618.8149     700.0622      81.2473     816.8999     198.0850     120.1932     116.8377
21.1363     618.8472     700.1108      81.2635     816.2332     197.3859     119.9710     116.1224
21.3986     618.8149     700.0946      81.2797     815.5351     196.7203     119.7599     115.4405
21.6723     618.8634     700.1432      81.2798     814.8542     195.9908     119.5168     114.7110
21.9318     618.9444     700.1108      81.1664     814.1872     195.2428     119.1919     114.0764
22.1988     619.0253     700.2080      81.1826     813.5755     194.5502     118.9718     113.3675
22.4620     619.1225     700.0622      80.9397     812.7933     193.6708     118.5168     112.7311
22.7220     619.1548     700.0946      80.9397     812.1441     192.9892     118.2896     112.0495
22.9990     619.1386     700.0946      80.9559     811.5299     192.3913     118.1010     111.4353
23.2520     619.2034     700.1108      80.9074     810.9041     191.7007     117.8385     110.7933
23.5276     619.2520     700.0622      80.8102     810.2530     191.0011     117.5405     110.1908
23.7838     619.2034     700.0946      80.8912     809.6931     190.4897     117.4240     109.5986
24.0551     619.2844     700.0460      80.7616     808.9560     189.6717     117.0650     108.9100
24.3276     619.2196     700.0460      80.8264     808.3438     189.1242     116.9257     108.2978
24.5913     619.2520     700.0460      80.7940     807.6953     188.4433     116.6771     107.6493
24.8699     619.2682     700.0460      80.7778     807.0651     187.7969     116.4509     107.0191
25.1340     619.2358     700.0622      80.8264     806.4297     187.1939     116.2822     106.3675
25.4131     619.2520     700.0460      80.7940     805.8236     186.5717     116.0532     105.7776
25.6776     619.2844     700.0460      80.7616     805.2124     185.9281     115.8171     105.1664
25.9478     619.4786     700.0136      80.5350     804.5933     185.1147     115.3949     104.5797
26.2304     619.5434     700.0622      80.5188     804.0886     184.5452     115.1943     104.0264
26.5052     619.5596     700.0136      80.4540     803.5051     183.9455     114.9512     103.4915
26.7799     619.7539     700.0460      80.2921     803.1138     183.3600     114.6481     103.0678
27.0397     619.8024     700.0622      80.2598     802.6973     182.8949     114.4715     102.6351
27.3167     619.8996     700.0460      80.1464     802.3704     182.4708     114.2546     102.3244
27.5974     620.0453     700.0460      80.0007     801.9449     181.8996     113.9670     101.8989
27.8628     620.1262     700.0460      79.9198     801.6499     181.5237     113.7878     101.6039
28.1338     620.1910     700.0298      79.8388     801.3241     181.1331     113.6036     101.2942
28.4036     620.2719     700.0460      79.7741     801.0677     180.7958     113.4480     101.0217
28.6905     620.3529     700.0298      79.6769     800.7838     180.4309     113.2616     100.7540
28.9464     620.5310     700.0136      79.4826     800.4834     179.9524     112.9726     100.4697
29.2222     620.4824     700.0460      79.5636     800.2737     179.7913     112.9728     100.2277
29.4914     620.6767     700.0622      79.3855     800.0030     179.3263     112.6991      99.9408
29.7561     620.6119     700.0784      79.4665     799.7380     179.1261     112.6864      99.6596
30.0125     620.6281     700.0298      79.4017     799.2261     178.5980     112.4671      99.1963
30.2838     620.7900     700.0784      79.2884     798.9310     178.1410     112.2393      98.8526
30.5514     620.8386     700.0622      79.2236     798.6457     177.8072     112.0848      98.5835
30.8200     621.0167     700.0460      79.0293     798.3813     177.3646     111.8078      98.3353
31.0945     621.0490     700.0298      78.9808     798.2226     177.1735     111.7117      98.1928
31.3627     621.1786     700.0784      78.8998     798.0956     176.9170     111.5722      98.0172
31.6264     621.2757     700.0784      78.8027     797.9821     176.7064     111.4373      97.9037
31.9028     621.3566     700.0460      78.6894     797.7987     176.4421     111.2736      97.7527
32.1539     621.5347     700.0136      78.4789     797.7519     176.2172     111.0583      97.7383
32.4270     621.6481     700.1432      78.4951     797.8044     176.1563     111.0489      97.6612
