eps1         u           sigma3       sigma3'     sigma1       sigma1'      p            q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]        [kPa]        [kPa] 

0.0000      500.0513     600.0234     99.9721     604.1238     104.0725     101.3389       4.1004
0.0215      500.3427     600.0396     99.6969     604.4551     104.1124     101.1687       4.4156
0.0440      504.6977     600.0234     95.3257     610.6092     105.9115      98.8543      10.5858
0.0705      507.8871     600.0234     92.1363     615.4949     107.6078      97.2935      15.4715
0.0972      509.2470     600.0720     90.8249     617.6417     108.3947      96.6815      17.5697
0.1211      510.3803     600.0396     89.6593     620.1971     109.8168      96.3785      20.1575
0.1455      511.2545     600.0234     88.7688     621.9484     110.6939      96.0772      21.9251
0.1714      512.1935     600.0072     87.8136     624.0649     111.8714      95.8329      24.0577
0.1970      512.9059     599.9910     87.0851     624.8698     111.9639      95.3780      24.8788
0.2270      513.4725     600.0072     86.5347     627.0135     113.5409      95.5368      27.0063
0.2533      514.1039     599.9910     85.8871     628.4454     114.3415      95.3719      28.4544
0.2821      514.6382     599.9586     85.3204     629.6216     114.9834      95.2081      29.6630
0.3027      515.1724     600.0234     84.8509     631.5755     116.4031      95.3683      31.5522
0.3292      515.5772     599.9586     84.3814     632.7318     117.1546      95.3058      32.7732
0.3628      516.0305     600.0234     83.9929     633.5410     117.5105      95.1654      33.5176
0.3888      516.4514     600.0558     83.6043     635.1566     118.7052      95.3046      35.1008
0.4191      516.9047     600.0234     83.1186     636.2802     119.3755      95.2042      36.2568
0.4424      517.2447     599.9748     82.7301     637.2355     119.9908      95.1503      37.2607
0.4712      517.6333     599.9910     82.3577     638.2530     120.6197      95.1117      38.2620
0.4972      517.9409     600.0072     82.0663     639.2269     121.2860      95.1395      39.2197
0.5223      518.1999     599.9748     81.7749     640.1742     121.9743      95.1747      40.1994
0.5535      518.4590     599.9748     81.5158     641.0409     122.5819      95.2045      41.0661
0.5790      518.7504     600.0234     81.2730     641.9800     123.2297      95.2586      41.9567
0.6080      518.9932     599.9748     80.9816     642.7321     123.7389      95.2340      42.7574
0.6371      519.1875     599.9586     80.7711     643.5161     124.3286      95.2903      43.5575
0.6674      519.4303     599.9910     80.5606     644.3477     124.9173      95.3462      44.3567
0.6920      519.6570     600.0072     80.3502     645.2310     125.5740      95.4248      45.2238
0.7205      519.9160     600.0072     80.0912     645.9422     126.0261      95.4028      45.9350
0.7466      520.0941     599.9586     79.8645     646.7591     126.6650      95.4647      46.8005
0.7750      520.2398     600.0558     79.8159     647.5010     127.2611      95.6310      47.4452
0.7975      520.4341     600.0234     79.5893     648.1814     127.7474      95.6420      48.1581
0.8254      520.6122     599.9748     79.3626     648.8428     128.2306      95.6519      48.8680
0.8548      520.7579     599.9748     79.2169     649.5077     128.7498      95.7279      49.5329
0.8821      520.8550     600.0558     79.2007     650.2542     129.3992      95.9336      50.1985
0.9084      521.1141     599.9748     78.8607     650.8171     129.7030      95.8082      50.8423
0.9345      521.1788     599.9262     78.7474     651.4559     130.2771      95.9239      51.5297
0.9559      521.3245     599.9586     78.6341     652.1339     130.8094      96.0258      52.1753
0.9782      521.4055     600.0234     78.6179     652.9312     131.5257      96.2538      52.9078
1.0053      521.5512     600.0072     78.4560     653.4695     131.9183      96.2768      53.4623
1.0343      521.6645     600.0396     78.3751     654.0769     132.4123      96.3875      54.0373
1.0637      521.7131     600.0234     78.3103     654.6570     132.9439      96.5215      54.6336
1.0927      521.8264     599.9748     78.1484     655.1608     133.3344      96.5437      55.1861
1.1190      521.8912     600.0072     78.1160     655.7469     133.8557      96.6959      55.7397
1.1454      522.0369     600.0072     77.9703     656.3220     134.2851      96.7419      56.3148
1.1750      522.1340     599.9910     77.8570     656.8569     134.7229      96.8123      56.8659
1.1974      522.1340     599.9586     77.8246     657.3358     135.2018      96.9503      57.3772
1.2315      522.1502     599.9748     77.8246     657.9435     135.7933      97.1475      57.9687
1.2622      522.2797     600.0234     77.7437     658.4979     136.2182      97.2352      58.4745
1.2883      522.3121     599.9262     77.6141     658.9745     136.6624      97.2969      59.0483
1.3108      522.3607     599.9748     77.6141     659.4677     137.1070      97.4451      59.4929
1.3375      522.3607     599.9424     77.5817     659.9427     137.5820      97.5818      60.0003
1.3646      522.4578     599.9748     77.5170     660.4819     138.0240      97.6860      60.5071
1.3929      522.5549     599.9748     77.4198     660.9440     138.3891      97.7429      60.9692
1.4211      522.5549     599.9748     77.4198     661.5150     138.9600      97.9332      61.5402
1.4446      522.6359     599.8938     77.2579     661.8114     139.1755      97.8971      61.9176
1.4715      522.6359     599.9748     77.3389     662.3547     139.7188      98.1322      62.3799
1.5022      522.6845     599.9262     77.2417     662.8528     140.1683      98.2173      62.9266
1.5268      522.6683     599.9748     77.3065     663.3863     140.7180      98.4437      63.4115
1.5555      522.7654     599.9424     77.1770     663.6836     140.9182      98.4240      63.7412
1.5835      522.7492     599.9910     77.2418     664.2579     141.5087      98.6641      64.2670
1.6127      522.6683     599.9910     77.3227     664.6956     142.0273      98.8909      64.7046
1.6346      522.7654     599.9424     77.1770     665.0458     142.2803      98.8781      65.1034
1.6571      522.7816     599.9586     77.1770     665.4601     142.6785      99.0108      65.5015
1.6815      522.7654     599.9586     77.1932     665.8785     143.1131      99.1665      65.9199
1.7052      522.8464     599.9262     77.0798     666.3734     143.5270      99.2289      66.4472
1.7355      522.8787     599.9424     77.0637     666.8036     143.9248      99.3507      66.8612
1.7630      522.8464     599.9100     77.0636     667.1868     144.3404      99.4892      67.2768
1.7907      522.7978     599.8776     77.0798     667.5045     144.7067      99.6221      67.6268
1.8184      522.8140     599.9100     77.0960     667.9301     145.1161      99.7694      68.0201
1.8412      522.8464     599.9424     77.0960     668.3807     145.5344      99.9088      68.4383
1.8702      522.7654     599.8938     77.1284     668.6373     145.8719     100.0429      68.7435
1.8970      522.7654     599.8776     77.1122     669.1227     146.3573     100.1939      69.2451
1.9219      522.8464     599.9262     77.0798     669.5007     146.6543     100.2713      69.5745
1.9508      522.8464     599.9748     77.1284     669.9622     147.1159     100.4576      69.9874
1.9765      522.8787     599.9100     77.0313     670.3342     147.4554     100.5060      70.4242
2.0071      522.8302     599.8776     77.0474     670.7346     147.9045     100.6665      70.8570
2.0305      522.8302     599.8776     77.0474     671.0643     148.2341     100.7763      71.1866
2.0590      522.7978     599.8776     77.0798     671.3899     148.5921     100.9173      71.5123
2.0839      522.7168     599.9424     77.2256     671.8045     149.0877     101.1796      71.8621
2.1118      522.7492     599.9586     77.2094     672.1897     149.4405     101.2864      72.2311
2.1374      522.7168     599.9424     77.2256     672.4791     149.7622     101.4045      72.5367
2.1658      522.7492     599.8614     77.1122     672.7880     150.0388     101.4211      72.9266
2.1948      522.7330     599.8776     77.1446     673.1285     150.3955     101.5615      73.2509
2.2335      522.7330     599.8452     77.1122     673.5425     150.8095     101.6780      73.6973
2.2604      522.7330     599.8776     77.1446     673.8139     151.0809     101.7900      73.9363
2.2880      522.6683     599.8614     77.1931     674.1873     151.5190     101.9684      74.3259
2.3144      522.7168     599.9262     77.2094     674.5774     151.8606     102.0931      74.6512
2.3413      522.6035     599.8938     77.2903     674.8483     152.2448     102.2751      74.9545
2.3732      522.6845     599.9100     77.2255     675.2716     152.5872     102.3461      75.3616
2.4003      522.5873     599.9100     77.3227     675.5959     153.0086     102.5513      75.6859
2.4264      522.5388     599.8614     77.3227     675.7644     153.2256     102.6236      75.9029
2.4468      522.5549     599.8290     77.2741     676.1258     153.5709     102.7063      76.2968
2.4744      522.4902     599.8776     77.3874     676.5409     154.0507     102.9419      76.6633
2.5031      522.4902     599.9262     77.4360     676.8902     154.4000     103.0907      76.9640
2.5290      522.4092     599.8776     77.4684     677.1444     154.7351     103.2240      77.2667
2.5561      522.4092     599.8452     77.4360     677.4351     155.0259     103.2993      77.5899
2.5865      522.3607     599.8938     77.5331     677.7394     155.3787     103.4817      77.8456
2.6107      522.4092     599.8614     77.4522     678.0106     155.6014     103.5019      78.1492
2.6330      522.3769     599.8614     77.4846     678.3801     156.0033     103.6575      78.5187
2.6559      522.2959     599.9748     77.6789     678.7332     156.4373     103.9317      78.7584
2.6783      522.3121     599.8614     77.5493     678.9890     156.6769     103.9252      79.1276
2.7054      522.3121     599.8452     77.5331     679.2519     156.9398     104.0020      79.4067
2.7408      522.2150     599.8938     77.6788     679.6156     157.4006     104.2528      79.7218
2.7735      522.1664     599.8452     77.6788     679.8625     157.6961     104.3513      80.0173
2.8021      522.1340     599.8452     77.7112     680.1398     158.0058     104.4761      80.2946
2.8313      522.1340     599.8614     77.7274     680.4326     158.2986     104.5845      80.5712
2.8601      522.0369     599.8938     77.8569     680.7847     158.7478     104.8206      80.8909
2.8876      522.0207     599.8614     77.8407     681.0300     159.0093     104.8969      81.1685
2.9128      522.0693     599.8938     77.8246     681.2988     159.2295     104.9595      81.4050
2.9357      521.9235     599.8452     77.9217     681.5099     159.5864     105.1432      81.6647
2.9628      521.9074     599.8614     77.9541     681.8465     159.9391     105.2824      81.9851
2.9908      521.9559     599.8776     77.9217     682.1608     160.2048     105.3494      82.2831
3.0141      521.8426     599.9262     78.0836     682.4468     160.6042     105.5905      82.5206
3.0427      521.8426     599.8290     77.9864     682.6254     160.7828     105.5852      82.7964
3.0790      521.7778     599.7966     78.0188     682.9262     161.1484     105.7287      83.1296
3.1069      521.7293     599.8290     78.0998     683.2345     161.5053     105.9016      83.4055
3.1382      521.6807     599.8452     78.1645     683.4379     161.7572     106.0288      83.5927
3.1693      521.6159     599.7966     78.1807     683.6622     162.0462     106.1359      83.8655
3.1951      521.5836     599.8128     78.2293     683.8914     162.3078     106.2555      84.0785
3.2176      521.5350     599.8614     78.3264     684.1771     162.6421     106.4317      84.3157
3.2435      521.5350     599.8938     78.3588     684.5506     163.0156     106.5777      84.6568
3.2752      521.5350     599.8128     78.2778     684.6771     163.1421     106.5659      84.8643
3.3025      521.5350     599.7804     78.2454     684.9414     163.4064     106.6324      85.1609
3.3281      521.4702     599.7804     78.3102     685.2180     163.7477     106.7894      85.4375
3.3554      521.3731     599.7966     78.4235     685.4664     164.0933     106.9801      85.6697
3.3815      521.3245     599.8290     78.5045     685.7106     164.3861     107.1317      85.8816
3.4061      521.2760     599.8290     78.5531     686.0090     164.7331     107.2797      86.1800
3.4330      521.2598     599.8290     78.5693     686.1558     164.8960     107.3448      86.3268
3.4620      521.2436     599.7804     78.5369     686.3374     165.0938     107.3892      86.5569
3.4891      521.1303     599.8128     78.6826     686.6868     165.5566     107.6406      86.8740
3.5164      521.1626     599.8614     78.6988     686.9667     165.8041     107.7339      87.1053
3.5443      521.1303     599.7966     78.6664     687.1539     166.0237     107.7855      87.3573
3.5725      521.1141     599.7804     78.6664     687.4320     166.3179     107.8836      87.6515
3.5964      521.1626     599.8128     78.6502     687.6770     166.5144     107.9383      87.8642
3.6225      521.0331     599.8290     78.7959     687.9251     166.8920     108.1613      88.0961
3.6525      520.9360     599.8290     78.8931     688.1319     167.1959     108.3273      88.3029
3.6826      520.8712     599.8614     78.9902     688.3710     167.4998     108.4934      88.5096
3.7088      520.9198     599.7966     78.8769     688.5162     167.5964     108.4500      88.7196
3.7368      520.7579     599.7804     79.0226     688.7296     167.9717     108.6723      88.9492
3.7643      520.8388     599.8290     78.9902     689.0293     168.1905     108.7236      89.2003
3.7897      520.7417     599.7157     78.9740     689.1476     168.4059     108.7846      89.4319
3.8122      520.6769     599.7966     79.1197     689.4415     168.7646     109.0013      89.6449
3.8416      520.6769     599.7804     79.1035     689.7380     169.0611     109.0894      89.9576
3.8681      520.6284     599.7966     79.1683     689.8995     169.2711     109.2025      90.1028
3.8946      520.6608     599.7966     79.1359     690.1933     169.5326     109.2681      90.3967
3.9229      520.5960     599.7804     79.1845     690.3841     169.7881     109.3857      90.6036
3.9482      520.5150     599.7966     79.2816     690.5676     170.0525     109.5386      90.7709
3.9744      520.4989     599.7642     79.2654     690.7651     170.2662     109.5990      91.0008
4.0026      520.4017     599.7804     79.3787     690.9244     170.5226     109.7600      91.1439
4.0274      520.4179     599.8128     79.3949     691.3151     170.8972     109.8957      91.5022
4.0535      520.4017     599.7966     79.3949     691.4649     171.0632     109.9510      91.6683
4.0820      520.3693     599.7804     79.4111     691.6334     171.2641     110.0288      91.8530
4.1100      520.3531     599.7804     79.4273     691.8610     171.5079     110.1208      92.0806
4.1381      520.2398     599.7804     79.5406     692.1095     171.8697     110.3170      92.3291
4.1631      520.1265     599.7642     79.6378     692.2599     172.1334     110.4696      92.4956
4.1917      520.0941     599.7804     79.6863     692.4603     172.3662     110.5796      92.6798
4.2182      520.0132     599.7804     79.7673     692.7523     172.7391     110.7579      92.9718
4.2455      520.0294     599.7481     79.7187     692.8627     172.8333     110.7569      93.1146
4.2784      519.9808     599.7642     79.7835     693.1008     173.1200     110.8956      93.3365
4.3024      520.0455     599.7804     79.7349     693.3474     173.3019     110.9239      93.5670
4.3280      519.9484     599.7481     79.7996     693.5015     173.5531     111.0508      93.7534
4.3566      519.9484     599.7481     79.7996     693.6637     173.7153     111.1049      93.9157
4.3866      519.9484     599.7804     79.8320     693.9414     173.9930     111.2190      94.1610
4.4091      519.8351     599.7319     79.8968     694.1454     174.3103     111.3679      94.4135
4.4367      519.7217     599.7642     80.0425     694.2773     174.5556     111.5469      94.5131
4.4619      519.6732     599.8290     80.1558     694.5706     174.8974     111.7364      94.7415
4.4867      519.6732     599.7642     80.0911     694.6923     175.0191     111.7338      94.9281
4.5121      519.6084     599.7804     80.1720     694.8099     175.2015     111.8485      95.0294
4.5367      519.6894     599.7319     80.0425     695.0534     175.3640     111.8163      95.3215
4.5630      519.5760     599.7642     80.1882     695.3338     175.7577     112.0447      95.5695
4.5901      519.5275     599.6995     80.1720     695.4738     175.9464     112.0968      95.7744
4.6178      519.4465     599.7481     80.3015     695.7054     176.2589     112.2873      95.9574
4.6451      519.5113     599.7319     80.2206     695.8725     176.3613     112.2675      96.1407
4.6758      519.3980     599.7319     80.3339     696.0945     176.6966     112.4548      96.3627
4.7060      519.3494     599.7481     80.3987     696.2697     176.9203     112.5726      96.5217
4.7350      519.2846     599.7319     80.4472     696.4137     177.1291     112.6745      96.6818
4.7596      519.2684     599.7319     80.4634     696.5782     177.3098     112.7455      96.8464
4.7800      519.2199     599.7157     80.4958     696.6886     177.4687     112.8201      96.9729
4.8065      519.2199     599.7319     80.5120     696.9724     177.7525     112.9255      97.2406
4.8388      519.2037     599.7157     80.5120     697.1756     177.9720     112.9986      97.4600
4.8661      519.1227     599.7319     80.6091     697.3952     178.2725     113.1636      97.6633
4.8980      519.1713     599.7319     80.5606     697.5727     178.4014     113.1742      97.8408
4.9308      519.0418     599.7157     80.6739     697.7329     178.6912     113.3463      98.0173
4.9604      519.0256     599.7642     80.7387     697.9401     178.9145     113.4639      98.1758
4.9879      518.9608     599.7966     80.8358     698.1541     179.1932     113.6216      98.3574
5.0125      518.9123     599.7319     80.8196     698.1898     179.2775     113.6389      98.4580
