eps1         u           sigma3       sigma3'      sigma1        sigma1'      p             q
[%]         [kPa]        [kPa]        [kPa]        [kPa]         [kPa]        [kPa]         [kPa] 

0.0000      501.7135     700.9248     199.2113     701.9507     200.2373     199.5533      1.0260
0.0062      501.9239     700.8438     198.9199     702.8556     200.9316     199.5905      2.0118
0.0124      502.5229     700.8600     198.3370     703.5325     201.0095     199.2279      2.6725
0.0187      502.8467     700.7952     197.9485     703.3007     200.4539     198.7836      2.5055
0.0249      503.9800     700.8114     196.8314     704.7261     200.7460     198.1363      3.9147
0.0311      505.3238     700.8600     195.5362     707.0112     201.6874     197.5866      6.1512
0.0373      507.7198     700.7142     192.9944     709.9183     202.1984     196.0624      9.2040
0.0434      509.5331     700.6818     191.1487     712.8352     203.3021     195.1999     12.1533
0.0494      511.2006     700.7628     189.5622     713.8240     202.6234     193.9159     13.0612
0.0548      512.5929     700.6980     188.1051     716.8331     204.2402     193.4835     16.1351
0.0602      514.0176     700.7466     186.7290     718.4214     204.4037     192.6206     17.6747
0.0660      515.1995     700.7142     185.5147     719.2788     204.0794     191.7029     18.5646
0.0693      516.3004     700.7790     184.4786     721.1269     204.8266     191.2613     20.3479
0.0732      517.3851     700.6332     183.2482     722.1455     204.7604     190.4189     21.5122
0.0780      518.2755     700.6494     182.3739     722.0619     203.7864     189.5114     21.4125
0.0826      519.1012     700.6656     181.5644     723.9771     204.8759     189.3349     23.3115
0.0853      519.9107     700.6818     180.7712     724.7891     204.8784     188.8069     24.1072
0.0888      520.6068     700.6980     180.0912     724.4534     203.8466     188.0096     23.7554
0.0919      521.3030     700.6980     179.3950     726.2669     204.9639     187.9180     25.5689
0.0960      521.9182     700.6332     178.7150     726.8241     204.9059     187.4453     26.1908
0.0996      522.5496     700.6332     178.0836     726.6871     204.1375     186.7683     26.0539
0.1027      523.1648     700.5847     177.4198     726.7079     203.5431     186.1276     26.1233
0.1070      523.7315     700.6009     176.8694     728.3395     204.6081     186.1156     27.7387
0.1131      524.2010     700.6332     176.4323     728.8923     204.6913     185.8520     28.2590
0.1191      524.7838     700.6009     175.8171     729.0578     204.2740     185.3027     28.4569
0.1251      525.2533     700.6818     175.4286     729.1699     203.9166     184.9246     28.4881
0.1303      525.7390     700.6009     174.8619     729.1774     203.4384     184.3874     28.5765
0.1371      526.3056     700.6009     174.2952     730.7564     204.4508     184.3471     30.1555
0.1429      526.6942     700.6494     173.9553     731.2198     204.5257     184.1454     30.5704
0.1498      527.2608     700.6009     173.3401     731.6296     204.3688     183.6830     31.0287
0.1556      527.7141     700.5847     172.8705     731.8966     204.1825     183.3079     31.3119
0.1614      528.1836     700.6332     172.4496     732.4037     204.2201     183.0398     31.7705
0.1670      528.5722     700.6171     172.0449     732.7803     204.2081     182.7660     32.1633
0.1732      529.0741     700.6494     171.5754     733.1395     204.0654     182.4054     32.4901
0.1780      529.5274     700.6494     171.1221     733.5982     204.0709     182.1050     32.9488
0.1828      529.9483     700.6009     170.6526     733.8549     203.9066     181.7373     33.2541
0.1863      530.3692     700.5685     170.1992     734.2159     203.8466     181.4150     33.6474
0.1904      530.8064     700.5523     169.7459     734.5270     203.7207     181.0708     33.9747
0.1960      531.1949     700.5847     169.3898     734.9081     203.7132     180.8309     34.3235
0.2006      531.6320     700.6494     169.0174     735.3439     203.7119     180.5822     34.6944
0.2062      532.0853     700.5199     168.4345     735.5849     203.4995     180.1229     35.0650
0.2112      532.5386     700.5847     168.0460     736.0642     203.5256     179.8725     35.4796
0.2172      532.9758     700.5199     167.5441     736.4136     203.4378     179.5087     35.8937
0.2222      533.4129     700.5847     167.1718     736.8271     203.4142     179.2526     36.2425
0.2272      533.8824     700.5037     166.6213     737.1168     203.2344     178.8257     36.6131
0.2334      534.3195     700.6332     166.3137     737.5946     203.2751     178.6342     36.9613
0.2381      534.7243     700.6171     165.8928     737.9709     203.2467     178.3441     37.3539
0.2442      535.1938     700.5199     165.3261     738.2001     203.0063     177.8862     37.6802
0.2506      535.5176     700.5685     165.0509     738.5747     203.0572     177.7197     38.0063
0.2572      536.0194     700.5847     164.5652     738.9826     202.9632     177.3646     38.3980
0.2616      536.3594     700.6171     164.2576     739.3200     202.9605     177.1586     38.7029
0.2664      536.7965     700.5847     163.7881     739.6142     202.8177     176.7980     39.0295
0.2713      537.1851     700.5199     163.3348     739.9416     202.7566     176.4754     39.4218
0.2769      537.5898     700.5523     162.9624     740.2346     202.6447     176.1899     39.6823
0.2807      538.0593     700.5037     162.4443     740.4911     202.4317     175.7735     39.9874
0.2852      538.4317     700.5685     162.1368     740.9700     202.5383     175.6040     40.4016
0.2902      538.8688     700.4875     161.6187     741.1498     202.2809     175.1728     40.6623
0.2944      539.2250     700.5037     161.2787     741.5145     202.2896     174.9490     41.0109
0.2995      539.5974     700.4875     160.8901     741.7808     202.1835     174.6546     41.2933
0.3041      540.0021     700.5037     160.5016     742.0797     202.0776     174.3603     41.5760
0.3095      540.3583     700.5037     160.1454     742.3839     202.0256     174.1055     41.8802
0.3137      540.7630     700.4713     159.7083     742.7000     201.9370     173.7845     42.2287
0.3188      541.1192     700.4713     159.3521     743.0480     201.9288     173.5443     42.5767
0.3246      541.5239     700.4551     158.9312     743.2920     201.7680     173.2101     42.8369
0.3302      541.8477     700.4389     158.5912     743.5141     201.6664     172.9496     43.0752
0.3369      542.2363     700.4389     158.2026     743.7957     201.5595     172.6549     43.3568
0.3427      542.5439     700.5037     157.9598     744.1206     201.5767     172.4988     43.6169
0.3485      542.8677     700.4551     157.5874     744.3320     201.4643     172.2131     43.8769
0.3554      543.2400     700.4875     157.2474     744.6677     201.4277     171.9742     44.1802
0.3601      543.5962     700.4389     156.8427     744.8358     201.2396     171.6417     44.3969
0.3645      543.9524     700.4713     156.5189     745.1288     201.1764     171.4047     44.6575
0.3701      544.2762     700.4713     156.1951     745.4544     201.1782     171.1895     44.9831
0.3769      544.7457     700.4875     155.7418     745.7082     200.9625     170.8154     45.2207
0.3844      544.9561     700.4389     155.4828     745.8530     200.8969     170.6208     45.4141
0.3908      545.3285     700.5199     155.1914     746.2154     200.8869     170.4232     45.6955
0.3962      545.6037     700.3903     154.7866     746.3677     200.7640     170.1124     45.9774
0.3997      545.8790     700.4389     154.5599     746.6115     200.7325     169.9508     46.1726
0.4045      546.2999     700.4389     154.1390     746.8936     200.5937     169.6239     46.4547
0.4091      546.5751     700.4875     153.9124     747.1368     200.5617     169.4622     46.6494
0.4130      546.7856     700.3903     153.6047     747.3002     200.5146     169.2414     46.9099
0.4165      547.1903     700.4389     153.2486     747.5658     200.3755     168.9575     47.1269
0.4224      547.4656     700.4713     153.0057     747.7923     200.3267     168.7794     47.3210
0.4277      547.7893     700.4713     152.6819     747.9865     200.1971     168.5203     47.5152
0.4348      548.1293     700.4389     152.3096     748.2131     200.0837     168.2343     47.7742
0.4398      548.3398     700.4227     152.0829     748.3912     200.0514     168.0724     47.9685
0.4452      548.5826     700.3903     151.8077     748.5967     200.0141     167.8765     48.2064
0.4504      548.9550     700.3579     151.4029     748.8241     199.8691     167.5583     48.4662
0.4543      549.2464     700.4227     151.1763     749.1055     199.8591     167.4039     48.6828
0.4597      549.4731     700.4065     150.9334     749.2834     199.8103     167.2257     48.8769
0.4647      549.8616     700.4551     150.5935     749.6137     199.7521     166.9797     49.1586
0.4694      550.1530     700.3903     150.2373     749.6777     199.5246     166.6664     49.2874
0.4746      550.3797     700.3741     149.9944     749.8993     199.5196     166.5028     49.5252
0.4790      550.7197     700.3903     149.6706     750.1100     199.3903     166.2439     49.7197
0.4831      550.9787     700.3579     149.3792     750.3378     199.3590     166.0392     49.9798
0.4873      551.2701     700.4227     149.1526     750.6845     199.4144     165.9065     50.2618
0.4921      551.5454     700.4551     148.9097     750.8238     199.2784     165.6993     50.3687
0.4981      551.8368     700.3741     148.5374     751.0238     199.1870     165.4206     50.6496
0.5043      552.1120     700.3741     148.2621     751.2172     199.1052     165.2098     50.8431
0.5099      552.4358     700.4227     147.9869     751.5251     199.0893     165.0210     51.1024
0.5155      552.7110     700.4227     147.7117     751.6314     198.9204     164.7813     51.2087
0.5213      552.9053     700.3741     147.4688     751.8420     198.9367     164.6248     51.4679
0.5277      553.2938     700.3579     147.0641     752.0409     198.7470     164.2917     51.6829
0.5329      553.4881     700.3255     146.8374     752.2242     198.7361     164.1370     51.8987
0.5379      553.8281     700.3903     146.5622     752.4393     198.6112     163.9119     52.0489
0.5441      554.0871     700.3417     146.2546     752.6713     198.5842     163.6978     52.3296
0.5497      554.3138     700.3579     146.0441     752.7938     198.4800     163.5227     52.4358
0.5559      554.5405     700.3417     145.8013     752.9490     198.4085     163.3370     52.6072
0.5626      554.8481     700.3579     145.5099     753.2018     198.3538     163.1245     52.8439
0.5676      555.1071     700.2931     145.1861     753.3091     198.2020     162.8580     53.0159
0.5728      555.3661     700.2931     144.9270     753.4810     198.1148     162.6563     53.1878
0.5775      555.5928     700.3255     144.7328     753.6854     198.0927     162.5194     53.3599
0.5813      555.9004     700.3741     144.4737     753.8412     197.9408     162.2961     53.4670
0.5862      556.0947     700.3417     144.2471     754.0026     197.9079     162.1340     53.6608
0.5914      556.3375     700.2931     143.9556     754.1476     197.8101     161.9071     53.8545
0.5962      556.5642     700.2608     143.6966     754.2873     197.7231     161.7054     54.0265
0.6014      556.8556     700.2931     143.4376     754.4478     197.5922     161.4891     54.1547
0.6066      557.0984     700.3255     143.2271     754.6956     197.5972     161.3505     54.3701
0.6130      557.2765     700.2931     143.0166     754.7906     197.5141     161.1825     54.4975
0.6200      557.5841     700.3093     142.7252     754.9339     197.3498     160.9334     54.6246
0.6263      557.7136     700.3093     142.5957     755.0614     197.3478     160.8464     54.7521
0.6315      558.0212     700.3093     142.2881     755.2331     197.2119     160.5960     54.9238
0.6360      558.1669     700.2931     142.1262     755.4326     197.2656     160.5060     55.1394
0.6418      558.4422     700.2446     141.8024     755.5553     197.1131     160.2393     55.3107
0.6478      558.6688     700.3417     141.6729     755.8454     197.1766     160.1741     55.5037
0.6534      558.8469     700.2769     141.4300     755.8430     196.9961     159.9520     55.5660
0.6580      559.0574     700.3417     141.2844     756.1452     197.0878     159.8855     55.8034
0.6638      559.3164     700.3093     140.9929     756.1095     196.7931     159.5930     55.8002
0.6688      559.4783     700.3417     140.8634     756.3354     196.8571     159.5280     55.9937
0.6744      559.6888     700.3093     140.6206     756.4089     196.7201     159.3204     56.0996
0.6798      559.9154     700.2769     140.3615     756.6352     196.7197     159.1476     56.3582
0.6850      560.1421     700.3093     140.1673     756.7300     196.5879     158.9741     56.4207
0.6897      560.3202     700.3255     140.0054     756.8962     196.5760     158.8622     56.5706
0.6951      560.5145     700.3255     139.8111     757.0893     196.5749     158.7324     56.7638
0.7007      560.7573     700.2769     139.5197     757.0594     196.3021     158.4471     56.7824
0.7063      560.9678     700.2608     139.2930     757.2144     196.2466     158.2775     56.9536
0.7105      561.1782     700.3417     139.1635     757.4674     196.2892     158.2054     57.1257
0.7146      561.3077     700.3093     139.0016     757.5634     196.2557     158.0863     57.2541
0.7209      561.5344     700.2608     138.7264     757.6856     196.1512     157.8680     57.4249
0.7269      561.7772     700.2608     138.4835     757.8347     196.0575     157.6748     57.5740
0.7321      562.0201     700.2446     138.2245     757.9463     195.9262     157.4584     57.7018
0.7368      562.1820     700.2931     138.1112     758.1447     195.9627     157.3950     57.8516
0.7416      562.3925     700.2608     137.8683     758.2403     195.8478     157.1948     57.9796
0.7462      562.5544     700.2931     137.7388     758.4662     195.9118     157.1298     58.1730
0.7514      562.8458     700.2769     137.4312     758.5559     195.7101     156.8575     58.2790
0.7565      563.0400     700.2769     137.2369     758.7272     195.6871     156.7203     58.4502
0.7617      563.2343     700.2446     137.0102     758.8661     195.6318     156.5507     58.6215
0.7657      563.3476     700.3255     136.9779     759.0537     195.7060     156.5539     58.7281
0.7694      563.6391     700.2608     136.6217     759.1174     195.4783     156.2406     58.8567
0.7748      563.8171     700.2446     136.4274     759.2287     195.4116     156.0888     58.9842
0.7802      563.9952     700.2446     136.2493     759.3998     195.4046     155.9677     59.1553
0.7852      564.2381     700.2931     136.0551     759.5979     195.3599     155.8233     59.3048
0.7897      564.4162     700.2122     135.7960     759.6014     195.1852     155.5924     59.3892
0.7951      564.5943     700.2446     135.6503     759.7830     195.1888     155.4965     59.5385
0.8014      564.8047     700.2122     135.4074     759.8994     195.0946     155.3032     59.6872
0.8055      564.9504     700.2122     135.2617     760.0058     195.0553     155.1929     59.7936
0.8103      565.1771     700.1636     134.9865     760.0414     194.8644     154.9458     59.8779
0.8144      565.3714     700.2122     134.8408     760.2400     194.8686     154.8501     60.0278
0.8202      565.6142     700.2931     134.6789     760.4481     194.8339     154.7306     60.1550
0.8256      565.7437     700.1960     134.4522     760.4130     194.6693     154.5246     60.2170
0.8306      565.9218     700.1798     134.2580     760.5462     194.6244     154.3801     60.3664
0.8377      566.1485     700.1960     134.0475     760.6670     194.5185     154.2045     60.4710
0.8439      566.3104     700.2284     133.9180     760.8480     194.5376     154.1245     60.6196
0.8499      566.4885     700.1798     133.6913     760.9046     194.4161     153.9329     60.7248
0.8553      566.6827     700.2122     133.5294     761.0425     194.3598     153.8062     60.8303
0.8611      566.8446     700.2122     133.3675     761.1478     194.3032     153.6794     60.9356
0.8673      566.9903     700.2122     133.2218     761.2528     194.2625     153.5687     61.0406
0.8731      567.1198     700.2122     133.0923     761.4233     194.3035     153.4960     61.2112
0.8789      567.3141     700.2122     132.8980     761.4633     194.1492     153.3151     61.2511
0.8843      567.5246     700.1798     132.6552     761.5581     194.0336     153.1146     61.3784
0.8891      567.7189     700.1960     132.4771     761.6367     193.9178     152.9573     61.4407
0.8939      567.8322     700.2122     132.3800     761.7370     193.9048     152.8882     61.5248
0.8993      567.9941     700.1960     132.2019     761.9133     193.9192     152.7743     61.7173
0.9057      568.1560     700.1960     132.0400     762.0398     193.8838     152.6546     61.8438
0.9109      568.2693     700.1798     131.9105     762.1074     193.8381     152.5530     61.9276
0.9165      568.4960     700.1798     131.6838     762.1039     193.6079     152.3252     61.9241
0.9215      568.7226     700.1960     131.4733     762.2040     193.4814     152.1427     62.0080
0.9262      568.7550     700.2122     131.4572     762.3477     193.5927     152.1690     62.1356
0.9316      568.9979     700.1960     131.1981     762.4152     193.4173     151.9379     62.2192
0.9354      569.0950     700.1798     131.0848     762.5489     193.4539     151.8745     62.3691
0.9408      569.2083     700.1798     130.9715     762.6543     193.4459     151.7963     62.4745
0.9445      569.4350     700.1798     130.7448     762.7172     193.2822     151.5906     62.5374
0.9493      569.6131     700.1474     130.5343     762.7905     193.1774     151.4154     62.6431
0.9538      569.6940     700.1636     130.4696     762.9343     193.2403     151.3931     62.7707
0.9588      569.8235     700.1636     130.3401     762.9964     193.1729     151.2843     62.8328
0.9632      570.0340     700.1798     130.1458     763.1403     193.1063     151.1326     62.9605
0.9681      570.1797     700.1150     129.9353     763.1811     193.0014     150.9573     63.0661
