eps1         u           sigma3       sigma3'     sigma1       sigma1'      p           q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]        [kPa]       [kPa] 

0.0000      500.8041     600.7115     99.9074     602.5023     101.6983    100.5044      1.7908
0.0212      504.2849     600.7277     96.4428     606.4067     102.1218     98.3358      5.6790
0.0477      506.9238     600.7277     93.8039     609.9748     103.0510     96.8863      9.2471
0.0717      511.4893     600.7115     89.2222     615.2271     103.7378     94.0607     14.5156
0.0993      514.7920     600.8087     86.0167     618.7613     103.9693     92.0009     17.9526
0.1245      517.7871     600.7277     82.9406     621.9098     104.1227     90.0013     21.1821
0.1485      520.1832     600.7601     80.5769     624.5811     104.3979     88.5173     23.8210
0.1750      522.0935     600.7277     78.6342     626.7339     104.6404     87.3029     26.0062
0.1992      523.9877     600.7277     76.7400     628.6455     104.6578     86.0459     27.9178
0.2217      525.5419     600.6791     75.1372     630.0764     104.5345     84.9363     29.3973
0.2459      526.9828     600.7439     73.7611     631.6332     104.6504     84.0575     30.8893
0.2736      528.3104     600.7601     72.4497     633.1533     104.8429     83.2474     32.3932
0.3042      529.5408     600.7763     71.2355     634.4963     104.9555     82.4755     33.7200
0.3354      530.5931     600.7115     70.1184     635.3534     104.7603     81.6657     34.6419
0.3610      531.6455     600.7115     69.0661     636.0711     104.4257     80.8526     35.3596
0.3854      532.4711     600.6953     68.2242     637.1550     104.6838     80.3774     36.4597
0.4124      533.2644     600.7115     67.4471     638.1570     104.8926     79.9289     37.4455
0.4408      533.9606     600.7115     66.7509     638.2423     104.2817     79.2612     37.5307
0.4663      534.6244     600.7601     66.1357     638.8260     104.2016     78.8244     38.0659
0.4924      535.2881     600.7277     65.4396     640.0113     104.7232     78.5341     39.2836
0.5178      535.9357     600.7925     64.8568     640.6318     104.6961     78.1365     39.8393
0.5428      536.4376     600.7277     64.2901     640.6042     104.1666     77.5823     39.8765
0.5717      537.0204     600.7277     63.7073     641.6339     104.6134     77.3427     40.9062
0.5978      537.5547     600.7115     63.1568     641.5735     104.0188     76.7775     40.8620
0.6241      538.0404     600.7439     62.7035     642.0448     104.0044     76.4705     41.3009
0.6531      538.4451     600.7763     62.3312     642.9415     104.4963     76.3862     42.1652
0.6782      538.8337     600.7763     61.9426     642.8109     103.9772     75.9541     42.0346
0.7085      539.2384     600.7115     61.4731     643.4376     104.1992     75.7151     42.7261
0.7340      539.6594     600.7439     61.0845     643.3012     103.6419     75.2703     42.5573
0.7594      540.0317     600.7601     60.7284     644.3246     104.2928     75.2499     43.5645
0.7885      540.3555     600.7277     60.3722     644.6025     104.2470     74.9971     43.8748
0.8127      540.6955     600.7115     60.0160     644.8622     104.1667     74.7329     44.1507
0.8379      541.1002     600.6629     59.5627     645.1526     104.0523     74.3926     44.4896
0.8640      541.3593     600.6791     59.3198     645.4738     104.1145     74.2514     44.7947
0.8950      541.7155     600.6953     58.9799     645.0200     103.3045     73.7547     44.3247
0.9270      541.9907     600.6629     58.6722     645.9320     103.9414     73.7620     45.2691
0.9550      542.3307     600.6305     58.2999     645.3417     103.0111     73.2036     44.7112
0.9834      542.5411     600.7115     58.1704     646.4529     103.9117     73.4175     45.7414
1.0112      542.8325     600.7277     57.8952     646.2459     103.4133     73.0679     45.5182
1.0390      543.1240     600.6467     57.5228     646.8677     103.7438     72.9298     46.2210
1.0653      543.3668     600.6305     57.2637     647.0692     103.7024     72.7433     46.4386
1.0937      543.7068     600.6629     56.9561     647.1169     103.4102     72.4408     46.4540
1.1213      543.9982     600.6629     56.6647     647.1599     103.1617     72.1637     46.4970
1.1493      544.1601     600.5981     56.4380     647.3056     103.1455     72.0072     46.7075
1.1784      544.4677     600.6467     56.1790     648.0022     103.5345     71.9642     47.3555
1.2104      544.6620     600.6305     55.9686     647.4919     102.8299     71.5890     46.8614
1.2363      544.8563     600.5981     55.7419     648.0074     103.1512     71.5450     47.4093
1.2656      545.0020     600.5981     55.5962     648.3330     103.3310     71.5078     47.7349
1.2923      545.3419     600.6467     55.3048     648.7550     103.4131     71.3409     48.1083
1.3146      545.5038     600.6467     55.1429     648.9403     103.4364     71.2407     48.2935
1.3375      545.7791     600.6791     54.9001     648.9268     103.1477     70.9826     48.2476
1.3625      545.9410     600.6143     54.6734     649.2916     103.3506     70.8991     48.6772
1.3948      546.1676     600.6305     54.4629     648.9044     102.7368     70.5542     48.2739
1.4268      546.2971     600.6629     54.3658     649.0719     102.7747     70.5021     48.4089
1.4563      546.4914     600.6143     54.1229     649.5843     103.0929     70.4462     48.9699
1.4834      546.7019     600.6305     53.9287     649.3837     102.6818     70.1797     48.7531
1.5167      546.8800     600.7115     53.8315     650.2642     103.3842     70.3491     49.5527
1.5428      547.0095     600.6143     53.6049     650.3496     103.3401     70.1833     49.7353
1.5746      547.2523     600.6143     53.3620     650.5141     103.2618     69.9953     49.8998
1.6065      547.4304     600.5820     53.1515     650.6461     103.2157     69.8396     50.0641
1.6340      547.6085     600.6143     53.0058     650.8148     103.2063     69.7393     50.2005
1.6629      547.7056     600.5981     52.8925     650.9192     103.2136     69.6662     50.3211
1.6924      547.9161     600.5981     52.6820     651.0695     103.1533     69.5058     50.4713
1.7170      548.0456     600.5334     52.4877     651.1874     103.1417     69.3724     50.6540
1.7422      548.1751     600.6143     52.4392     651.4056     103.2304     69.3696     50.7912
1.7692      548.2561     600.5820     52.3259     651.5695     103.3134     69.3217     50.9875
1.7961      548.5151     600.5981     52.0830     651.7218     103.2067     69.1242     51.1237
1.8222      548.6608     600.5658     51.9049     651.8110     103.1501     68.9867     51.2452
1.8544      548.7256     600.6305     51.9049     651.9940     103.2684     69.0261     51.3634
1.8871      549.0008     600.6467     51.6459     652.1880     103.1872     68.8264     51.5413
1.9147      549.1303     600.7277     51.5974     652.4495     103.3191     68.8380     51.7218
1.9442      549.2760     600.7115     51.4355     652.5676     103.2916     68.7208     51.8561
1.9756      549.3732     600.6143     51.2412     652.5738     103.2006     68.5610     51.9594
2.0038      549.5998     600.6305     51.0307     652.7248     103.1250     68.3955     52.0943
2.0288      549.6322     600.6143     50.9821     652.9050     103.2728     68.4123     52.2907
2.0572      549.7779     600.6143     50.8364     652.9647     103.1868     68.2865     52.3504
2.0833      549.8427     600.6467     50.8040     653.0879     103.2453     68.2845     52.4412
2.1128      549.9884     600.5658     50.5774     653.1259     103.1375     68.0974     52.5601
2.1421      550.0370     600.5981     50.5612     653.3071     103.2701     68.1308     52.7090
2.1733      550.1827     600.5981     50.4155     653.4548     103.2722     68.0344     52.8567
2.1964      550.3608     600.5496     50.1888     653.5134     103.1526     67.8434     52.9638
2.2208      550.4255     600.5658     50.1402     653.6658     103.2403     67.8403     53.1001
2.2499      550.5065     600.6629     50.1565     653.8817     103.3753     67.8961     53.2188
2.2785      550.6198     600.5981     49.9784     653.9059     103.2861     67.7476     53.3078
2.3042      550.7817     600.5172     49.7355     653.9454     103.1637     67.5449     53.4282
2.3307      550.8141     600.5334     49.7193     654.0964     103.2823     67.5736     53.5630
2.3595      550.8788     600.6143     49.7355     654.2959     103.4171     67.6294     53.6815
2.3837      551.0245     600.5334     49.5088     654.3509     103.3263     67.4480     53.8175
2.4115      551.1541     600.5172     49.3631     654.4536     103.2996     67.3419     53.9364
2.4435      551.2188     600.5658     49.3469     654.6038     103.3850     67.3596     54.0381
2.4745      551.2998     600.5334     49.2336     654.7034     103.4036     67.2903     54.1700
2.5046      551.4940     600.5334     49.0393     654.7910     103.2969     67.1252     54.2576
2.5307      551.4778     600.5172     49.0393     654.8795     103.4016     67.1601     54.3623
2.5608      551.6074     600.4848     48.8774     654.9793     103.3719     67.0422     54.4945
2.5842      551.7207     600.5172     48.7965     655.0880     103.3673     66.9867     54.5708
2.6028      551.7531     600.4848     48.7317     655.1493     103.3963     66.9532     54.6646
2.6255      551.9312     600.5496     48.6184     655.3354     103.4042     66.8803     54.7858
2.6593      551.9150     600.5172     48.6022     655.4179     103.5030     66.9025     54.9008
2.6888      552.0607     600.4848     48.4241     655.4730     103.4124     66.7535     54.9883
2.7199      552.1254     600.5172     48.3917     655.6812     103.5557     66.7797     55.1640
2.7488      552.2388     600.5010     48.2622     655.7527     103.5139     66.6794     55.2517
2.7732      552.2550     600.4524     48.1974     655.8389     103.5839     66.6596     55.3865
2.7991      552.3521     600.5010     48.1489     655.9322     103.5801     66.6259     55.4312
2.8273      552.4168     600.5334     48.1165     656.0376     103.6208     66.6179     55.5042
2.8561      552.4978     600.4362     47.9384     656.0279     103.5301     66.4690     55.5917
2.8869      552.5140     600.5172     48.0032     656.2101     103.6961     66.5675     55.6929
2.9111      552.6111     600.4362     47.8251     656.2340     103.6228     66.4243     55.7978
2.9395      552.7083     600.4524     47.7441     656.3822     103.6739     66.3874     55.9298
2.9620      552.8054     600.5172     47.7118     656.5379     103.7325     66.3853     56.0207
2.9883      552.8378     600.4038     47.5660     656.5428     103.7050     66.2790     56.1390
3.0152      552.9349     600.4848     47.5499     656.7416     103.8067     66.3022     56.2569
3.0426      553.0159     600.4362     47.4203     656.7958     103.7799     66.2069     56.3596
3.0742      553.0644     600.4524     47.3880     656.8529     103.7884     66.1881     56.4005
3.1022      553.0968     600.4362     47.3394     656.9389     103.8421     66.1736     56.5027
3.1249      553.1778     600.4200     47.2422     656.9983     103.8206     66.1017     56.5783
3.1544      553.2263     600.4848     47.2584     657.1495     103.9232     66.1467     56.6647
3.1788      553.3397     600.4362     47.0965     657.1755     103.8358     66.0096     56.7393
3.2053      553.4530     600.4200     46.9670     657.3213     103.8683     65.9341     56.9013
3.2337      553.5177     600.4362     46.9184     657.4392     103.9214     65.9194     57.0030
3.2640      553.5501     600.3552     46.8051     657.4438     103.8937     65.8346     57.0886
3.2912      553.5987     600.3390     46.7403     657.5743     103.9756     65.8187     57.2352
3.3175      553.6473     600.4038     46.7565     657.6235     103.9762     65.8298     57.2197
3.3389      553.6635     600.3714     46.7080     657.7114     104.0479     65.8213     57.3400
3.3637      553.7444     600.4200     46.6756     657.8487     104.1043     65.8185     57.4287
3.3951      553.7606     600.3876     46.6270     657.8862     104.1257     65.7932     57.4986
3.4212      553.9225     600.4362     46.5137     658.0374     104.1149     65.7141     57.6012
3.4514      553.9387     600.4200     46.4813     658.1066     104.1679     65.7102     57.6866
3.4791      553.9549     600.4038     46.4489     658.2066     104.2517     65.7165     57.8028
3.5091      554.0682     600.3714     46.3032     658.2891     104.2209     65.6091     57.9176
3.5396      554.0844     600.3714     46.2870     658.3592     104.2748     65.6163     57.9878
3.5663      554.1815     600.4038     46.2223     658.5524     104.3709     65.6052     58.1486
3.5926      554.1815     600.3714     46.1899     658.5042     104.3227     65.5675     58.1328
3.6192      554.2301     600.3714     46.1413     658.5914     104.3613     65.5480     58.2199
3.6412      554.2949     600.4038     46.1090     658.6693     104.3745     65.5308     58.2655
3.6616      554.3434     600.4038     46.0604     658.7601     104.4167     65.5125     58.3563
3.6849      554.3758     600.4038     46.0280     658.8343     104.4585     65.5048     58.4305
3.7131      554.4568     600.4038     45.9471     658.9497     104.4930     65.4624     58.5459
3.7413      554.5053     600.4038     45.8985     659.0650     104.5597     65.4522     58.6612
3.7706      554.6186     600.4200     45.8014     659.1663     104.5477     65.3835     58.7463
3.8039      554.5215     600.2904     45.7689     659.1047     104.5832     65.3737     58.8143
3.8300      554.6348     600.3552     45.7204     659.2417     104.6069     65.3492     58.8865
3.8582      554.6348     600.3876     45.7528     659.3891     104.7543     65.4199     59.0015
3.8837      554.6834     600.3552     45.6718     659.4734     104.7900     65.3779     59.1182
3.9087      554.7482     600.3714     45.6232     659.5036     104.7554     65.3340     59.1321
3.9371      554.7320     600.3390     45.6070     659.5418     104.8098     65.3413     59.2028
3.9654      554.7967     600.3552     45.5585     659.6287     104.8320     65.3163     59.2735
3.9936      554.9263     600.3228     45.3966     659.7257     104.7994     65.1975     59.4028
4.0267      554.9263     600.2580     45.3318     659.7138     104.7875     65.1504     59.4557
4.0527      554.9748     600.3552     45.3804     659.9268     104.9520     65.2376     59.5716
4.0752      554.9748     600.2904     45.3156     659.8920     104.9172     65.1828     59.6016
4.1007      555.0558     600.2904     45.2347     660.0082     104.9524     65.1406     59.7177
4.1274      555.0396     600.3228     45.2832     660.0826     105.0430     65.2032     59.7597
4.1573      555.0396     600.2742     45.2347     660.1179     105.0783     65.1825     59.8437
4.1851      555.0881     600.3390     45.2509     660.2386     105.1504     65.2174     59.8995
4.2127      555.2177     600.2742     45.0566     660.2444     105.0267     65.0466     59.9702
4.2371      555.1529     600.2742     45.1213     660.3609     105.2080     65.1502     60.0867
4.2704      555.2662     600.2742     45.0080     660.4717     105.2055     65.0738     60.1975
4.2988      555.2986     600.2742     44.9756     660.5270     105.2284     65.0599     60.2528
4.3298      555.3148     600.1933     44.8785     660.5143     105.1995     64.9855     60.3210
4.3595      555.2986     600.2580     44.9594     660.6773     105.3787     65.0992     60.4193
4.3894      555.3472     600.3066     44.9594     660.7655     105.4183     65.1124     60.4589
4.4187      555.3634     600.2419     44.8785     660.7699     105.4065     65.0545     60.5280
4.4465      555.3634     600.2095     44.8461     660.8075     105.4442     65.0454     60.5981
4.4711      555.4281     600.2419     44.8137     660.9119     105.4838     65.0371     60.6701
4.4972      555.5253     600.2580     44.7328     661.0284     105.5031     64.9896     60.7703
4.5249      555.5091     600.2257     44.7166     661.0367     105.5276     64.9869     60.8110
4.5532      555.5900     600.2580     44.6680     661.1678     105.5778     64.9713     60.9098
4.5837      555.5577     600.2257     44.6680     661.2472     105.6896     65.0085     61.0216
4.6104      555.5738     600.2257     44.6518     661.3322     105.7584     65.0207     61.1066
4.6397      555.6224     600.2095     44.5871     661.3702     105.7478     64.9740     61.1607
4.6650      555.6386     600.2904     44.6518     661.5516     105.9130     65.0722     61.2611
4.6930      555.6224     600.2095     44.5871     661.4672     105.8448     65.0063     61.2577
4.7178      555.6062     600.2419     44.6356     661.5710     105.9648     65.0787     61.3292
4.7400      555.6548     600.2419     44.5871     661.6586     106.0038     65.0593     61.4168
4.7693      555.7357     600.2580     44.5223     661.7724     106.0367     65.0271     61.5144
4.8018      555.7357     600.2580     44.5223     661.8242     106.0885     65.0444     61.5662
4.8332      555.7843     600.2419     44.4575     661.8896     106.1053     65.0068     61.6477
4.8614      555.8005     600.2257     44.4252     661.9715     106.1710     65.0071     61.7458
4.8943      555.8329     600.1609     44.3280     662.0017     106.1688     64.9416     61.8408
4.9246      555.8329     600.2580     44.4252     662.1372     106.3044     65.0516     61.8792
4.9513      555.8005     600.2095     44.4090     662.1730     106.3725     65.0635     61.9635
4.9768      555.8814     600.2580     44.3766     662.2486     106.3671     65.0401     61.9905
5.0071      555.8167     600.1933     44.3766     662.2076     106.3909     65.0480     62.0143
5.0334      555.9300     600.2257     44.2956     662.3534     106.4234     65.0049     62.1278
5.0591      555.9786     600.1771     44.1985     662.4332     106.4546     64.9505     62.2561
5.0903      555.9948     600.2257     44.2309     662.5194     106.5246     64.9955     62.2937
