eps1         u           sigma3       sigma3'     sigma1       sigma1'      p           q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]        [kPa]       [kPa] 

2.1354      550.8953     599.7776     48.8823     644.0707      93.1754     63.6466     44.2931
2.1631      551.0536     599.7438     48.6902     644.1535      93.0999     63.4934     44.4097
2.1915      551.2120     599.8114     48.5994     644.3158      93.1039     63.4342     44.5045
2.2168      551.3138     599.7776     48.4638     644.4319      93.1182     63.3486     44.6543
2.2425      551.4608     599.7776     48.3168     644.5062      93.0455     63.2264     44.7286
2.2692      551.6078     599.7438     48.1360     644.6215      93.0137     63.0952     44.8777
2.2945      551.7774     599.7776     48.0002     644.8049      93.0275     63.0093     45.0273
2.3237      551.9357     599.7776     47.8418     644.9634      93.0277     62.9038     45.1859
2.3512      552.0488     599.7776     47.7288     645.0689      93.0201     62.8259     45.2913
2.3796      552.1959     599.7776     47.5817     645.2061      93.0103     62.7246     45.4285
2.4065      552.3089     599.7776     47.4686     645.3117      93.0028     62.6467     45.5341
2.4342      552.4333     599.8114     47.3780     645.4077      92.9744     62.5768     45.5963
2.4613      552.5690     599.7776     47.2085     645.4793      92.9103     62.4424     45.7017
2.4887      552.6821     599.7776     47.0954     645.6489      92.9668     62.3859     45.8713
2.5148      552.8065     599.7438     46.9373     645.7101      92.9035     62.2593     45.9663
2.5417      552.9309     599.7776     46.8467     645.8598      92.9289     62.2074     46.0823
2.5691      553.0666     599.7438     46.6772     645.9418      92.8751     62.0765     46.1980
2.5978      553.1797     599.7100     46.5303     645.9694      92.7896     61.9501     46.2594
2.6245      553.3041     599.7438     46.4397     646.1619      92.8578     61.9124     46.4181
2.6527      553.3946     599.7438     46.3492     646.2770      92.8824     61.8603     46.5332
2.6794      553.6321     599.7100     46.0779     646.2947      92.6626     61.6061     46.5847
2.7079      553.7339     599.7438     46.0099     646.4112      92.6773     61.5657     46.6674
2.7344      553.7904     599.6762     45.8858     646.4486      92.6582     61.4766     46.7724
2.7616      553.8922     599.7100     45.8178     646.6191      92.7269     61.4542     46.9091
2.7905      553.9940     599.7100     45.7160     646.7121      92.7181     61.3834     47.0021
2.8189      554.0958     599.7100     45.6142     646.8054      92.7096     61.3127     47.0953
2.8460      554.1636     599.7100     45.5464     646.9205      92.7569     61.2832     47.2105
2.8733      554.2767     599.7438     45.4671     647.1013      92.8246     61.2529     47.3575
2.9035      554.3446     599.7100     45.3654     647.0955      92.7510     61.1606     47.3855
2.9322      554.4803     599.7100     45.2297     647.2631      92.7828     61.0808     47.5531
2.9599      554.5594     599.7100     45.1506     647.3029      92.7434     61.0149     47.5929
2.9869      554.6386     599.6762     45.0376     647.3840      92.7454     60.9402     47.7078
3.0126      554.7178     599.7100     44.9922     647.4905      92.7727     60.9191     47.7805
3.0385      554.7969     599.7100     44.9131     647.5311      92.7341     60.8534     47.8211
3.0654      554.8987     599.7100     44.8113     647.6778      92.7791     60.8006     47.9678
3.0924      555.0005     599.6762     44.6757     647.7586      92.7581     60.7032     48.0824
3.1195      555.0683     599.6762     44.6079     647.8837      92.8154     60.6770     48.2075
3.1480      555.1814     599.7100     44.5286     647.9779      92.7965     60.6179     48.2679
3.1774      555.2493     599.6762     44.4269     648.0467      92.7974     60.5504     48.3705
3.2055      555.3284     599.6424     44.3140     648.0947      92.7662     60.4647     48.4523
3.2314      555.3963     599.6762     44.2799     648.1687      92.7724     60.4441     48.4925
3.2565      555.4981     599.6424     44.1443     648.2820      92.7839     60.3575     48.6396
3.2843      555.5207     599.6762     44.1555     648.3764      92.8557     60.3889     48.7001
3.3120      555.6225     599.6762     44.0537     648.4581      92.8357     60.3144     48.7819
3.3387      555.6790     599.6424     43.9634     648.5066      92.8276     60.2515     48.8642
3.3657      555.7582     599.6762     43.9180     648.6331      92.8749     60.2370     48.9569
3.3932      555.8147     599.6762     43.8615     648.7361      92.9213     60.2148     49.0599
3.4223      555.9165     599.6424     43.7259     648.8150      92.8985     60.1168     49.1726
3.4517      555.9957     599.6424     43.6467     648.8850      92.8894     60.0610     49.2426
3.4790      556.0296     599.6424     43.6128     648.9985      92.9689     60.0649     49.3561
3.5063      556.0975     599.6762     43.5788     649.0714      92.9740     60.0438     49.3952
3.5329      556.1879     599.6762     43.4883     649.1003      92.9124     59.9630     49.4241
3.5596      556.2332     599.6424     43.4093     649.1377      92.9046     59.9077     49.4953
3.5847      556.2558     599.6424     43.3866     649.2840      93.0282     59.9338     49.6415
3.6130      556.3689     599.6424     43.2735     649.3648      92.9960     59.8477     49.7224
3.6416      556.4254     599.6424     43.2170     649.4561      93.0307     59.8216     49.8137
3.6695      556.4593     599.6424     43.1831     649.5583      93.0989     59.8217     49.9159
3.6984      556.5498     599.6424     43.0926     649.6281      93.0782     59.7545     49.9856
3.7256      556.5951     599.6424     43.0474     649.7517      93.1566     59.7505     50.1093
3.7525      556.6516     599.6424     42.9908     649.7694      93.1178     59.6998     50.1270
3.7792      556.6742     599.6424     42.9682     649.8508      93.1766     59.7043     50.2084
3.8056      556.7081     599.6424     42.9343     649.9111      93.2030     59.6905     50.2687
3.8319      556.8099     599.6086     42.7987     649.9377      93.1277     59.5751     50.3290
3.8584      556.8891     599.6424     42.7533     650.0951      93.2060     59.5709     50.4527
3.8886      556.9343     599.6424     42.7081     650.1639      93.2296     59.5486     50.5215
3.9173      556.9909     599.6086     42.6178     650.2841      93.2933     59.5096     50.6755
3.9460      556.9909     599.6424     42.6516     650.3662      93.3753     59.5595     50.7238
3.9752      557.0700     599.6424     42.5724     650.4459      93.3759     59.5069     50.8035
4.0027      557.0926     599.6424     42.5498     650.5053      93.4126     59.5040     50.8628
4.0310      557.1492     599.6424     42.4932     650.5642      93.4150     59.4671     50.9217
4.0586      557.1944     599.6086     42.4142     650.6002      93.4058     59.4114     50.9916
4.0859      557.2510     599.5748     42.3239     650.5624      93.3115     59.3197     50.9876
4.1126      557.3075     599.6086     42.3011     650.7192      93.4117     59.3380     51.1106
4.1404      557.3528     599.6086     42.2559     650.7571      93.4044     59.3054     51.1485
4.1687      557.3754     599.6086     42.2333     650.9002      93.5248     59.3304     51.2916
4.1966      557.4432     599.6086     42.1654     650.9485      93.5053     59.2787     51.3399
4.2250      557.4772     599.6086     42.1315     650.9860      93.5088     59.2573     51.3774
4.2525      557.5224     599.6086     42.0862     651.0450      93.5226     59.2317     51.4363
4.2814      557.5563     599.6086     42.0523     651.1453      93.5889     59.2312     51.5366
4.3090      557.5902     599.5748     41.9846     651.1388      93.5485     59.1726     51.5639
4.3363      557.6242     599.5748     41.9507     651.2082      93.5841     59.1618     51.6334
4.3624      557.6355     599.5748     41.9394     651.3204      93.6849     59.1879     51.7456
4.3895      557.7033     599.5748     41.8715     651.3478      93.6445     59.1292     51.7730
4.4173      557.7599     599.5410     41.7812     651.4462      93.6864     59.0829     51.9052
4.4454      557.8164     599.5410     41.7246     651.5151      93.6987     59.0493     51.9740
4.4741      557.8504     599.5410     41.6907     651.6046      93.7542     59.0452     52.0635
4.5031      557.8956     599.5748     41.6792     651.6436      93.7480     59.0355     52.0688
4.5318      557.9182     599.5410     41.6228     651.7097      93.7915     59.0124     52.1686
4.5582      557.9521     599.5410     41.5889     651.7058      93.7537     58.9772     52.1648
4.5857      557.9748     599.5748     41.6001     651.8400      93.8653     59.0218     52.2652
4.6132      557.9974     599.5748     41.5775     651.8984      93.9010     59.0187     52.3236
4.6399      558.0426     599.5748     41.5322     651.9047      93.8621     58.9755     52.3299
4.6673      558.0878     599.5410     41.4532     652.0238      93.9359     58.9474     52.4827
4.6952      558.0992     599.5410     41.4419     652.0399      93.9407     58.9415     52.4988
4.7247      558.1670     599.5748     41.4078     652.1412      93.9742     58.9300     52.5664
4.7545      558.1783     599.5410     41.3627     652.1854      94.0070     58.9108     52.6443
4.7812      558.2122     599.5748     41.3626     652.2987      94.0864     58.9372     52.7238
4.8079      558.2122     599.5410     41.3288     652.2920      94.0797     58.9124     52.7509
4.8365      558.2349     599.5748     41.3400     652.3832      94.1484     58.9428     52.8084
4.8642      558.3027     599.5748     41.2721     652.4725      94.1698     58.9047     52.8977
4.8905      558.3366     599.5073     41.1706     652.4322      94.0955     58.8123     52.9249
4.9179      558.3932     599.5073     41.1141     652.4902      94.0970     58.7750     52.9829
4.9444      558.4497     599.5748     41.1251     652.6580      94.2083     58.8195     53.0832
4.9727      558.4837     599.5073     41.0236     652.6060      94.1223     58.7232     53.0988
5.0007      558.4950     599.5073     41.0123     652.6740      94.1791     58.7345     53.1668
5.0302      558.5515     599.5410     40.9895     652.8167      94.2652     58.7481     53.2756
5.0573      558.5854     599.5410     40.9556     652.8537      94.2682     58.7265     53.3126
5.0857      558.5967     599.5410     40.9443     652.9004      94.3037     58.7308     53.3594
5.1130      558.6081     599.5410     40.9330     652.9477      94.3397     58.7352     53.4067
5.1405      558.6420     599.5410     40.8991     652.9740      94.3320     58.7100     53.4329
5.1663      558.6759     599.5073     40.8313     652.9361      94.2602     58.6410     53.4289
5.1928      558.6759     599.5073     40.8313     652.9629      94.2870     58.6499     53.4556
5.2203      558.7438     599.4735     40.7297     653.0387      94.2950     58.5848     53.5653
5.2486      558.7438     599.4735     40.7297     653.0644      94.3206     58.5933     53.5910
5.2774      558.7664     599.5073     40.7409     653.1862      94.4198     58.6338     53.6789
5.3049      558.7890     599.4735     40.6845     653.1889      94.3999     58.5896     53.7154
5.3316      558.8003     599.5073     40.7069     653.2804      94.4801     58.6313     53.7732
5.3606      558.8455     599.5073     40.6617     653.2744      94.4289     58.5841     53.7671
5.3879      558.8795     599.4735     40.5940     653.2875      94.4081     58.5320     53.8141
5.4140      558.8342     599.5073     40.6730     653.3793      94.5451     58.6304     53.8721
5.4402      558.9021     599.4735     40.5714     653.3619      94.4598     58.5342     53.8884
5.4653      558.9586     599.5073     40.5486     653.4854      94.5267     58.5413     53.9781
5.4942      558.9813     599.4735     40.4922     653.5078      94.5266     58.5037     54.0344
5.5230      559.0039     599.5073     40.5034     653.6395      94.6357     58.5475     54.1323
5.5501      559.0152     599.4735     40.4583     653.6422      94.6270     58.5145     54.1687
5.5770      559.0604     599.4735     40.4130     653.7202      94.6598     58.4953     54.2468
5.6057      559.0491     599.4735     40.4244     653.7141      94.6650     58.5046     54.2406
5.6337      559.1057     599.5073     40.4016     653.8045      94.6989     58.5007     54.2973
5.6596      559.1057     599.4397     40.3340     653.7324      94.6268     58.4316     54.2927
5.6857      559.1057     599.4735     40.3678     653.8134      94.7078     58.4811     54.3400
5.7113      559.1396     599.5073     40.3677     653.8948      94.7552     58.4968     54.3875
5.7388      559.1396     599.4397     40.3001     653.8632      94.7236     58.4413     54.4235
5.7663      559.2074     599.5073     40.2998     654.0496      94.8422     58.4806     54.5424
5.7944      559.2187     599.4735     40.2547     653.9892      94.7704     58.4266     54.5157
5.8236      559.1848     599.4735     40.2886     653.9412      94.7564     58.4446     54.4678
5.8523      559.1961     599.4735     40.2773     653.9868      94.7906     58.4484     54.5133
5.8807      559.2301     599.4735     40.2434     654.0325      94.8025     58.4298     54.5590
5.9068      559.2414     599.4735     40.2321     654.0484      94.8071     58.4238     54.5750
5.9343      559.2979     599.4735     40.1756     654.0635      94.7656     58.3722     54.5900
5.9598      559.3092     599.4735     40.1642     654.1522      94.8429     58.3905     54.6787
5.9866      559.3205     599.4397     40.1191     654.1752      94.8547     58.3643     54.7356
6.0137      559.3544     599.4397     40.0852     654.1905      94.8360     58.3355     54.7508
6.0426      559.3771     599.4397     40.0626     654.2977      94.9206     58.3486     54.8580
6.0700      559.4110     599.4735     40.0625     654.3982      94.9872     58.3707     54.9247
6.0947      559.4336     599.4059     39.9723     654.3885      94.9549     58.2998     54.9826
6.1236      559.4223     599.4059     39.9836     654.3509      94.9286     58.2986     54.9450
6.1512      559.4336     599.4397     40.0061     654.4202      94.9866     58.3329     54.9805
6.1779      559.4675     599.4397     39.9721     654.4871      95.0196     58.3213     55.0474
6.2042      559.4788     599.4059     39.9270     654.4998      95.0209     58.2917     55.0939
6.2293      559.4902     599.4397     39.9495     654.6117      95.1215     58.3402     55.1720
6.2569      559.5128     599.4059     39.8931     654.6236      95.1108     58.2990     55.2177
6.2854      559.5467     599.4059     39.8592     654.6996      95.1529     58.2904     55.2937
6.3125      559.5580     599.4059     39.8479     654.7660      95.2080     58.3012     55.3602
6.3401      559.5806     599.4397     39.8590     654.8454      95.2648     58.3276     55.4057
6.3684      559.6146     599.4059     39.7913     654.8566      95.2421     58.2749     55.4508
6.3957      559.6146     599.4059     39.7913     654.8920      95.2774     58.2867     55.4861
6.4239      559.6485     599.4059     39.7574     654.9474      95.2989     58.2712     55.5415
6.4488      559.6372     599.4059     39.7687     654.9531      95.3160     58.2845     55.5473
6.4741      559.6485     599.4059     39.7574     654.9690      95.3205     58.2784     55.5631
6.4992      559.6937     599.4397     39.7459     655.0804      95.3867     58.2929     55.6408
6.5255      559.6824     599.4059     39.7235     655.1030      95.4206     58.2892     55.6971
6.5531      559.6824     599.3721     39.6897     655.1350      95.4526     58.2773     55.7630
6.5812      559.7050     599.3721     39.6671     655.2313      95.5263     58.2868     55.8592
6.6091      559.7276     599.3721     39.6444     655.2352      95.5075     58.2655     55.8631
6.6377      559.7163     599.3721     39.6557     655.2386      95.5223     58.2779     55.8666
6.6644      559.6937     599.3721     39.6784     655.2843      95.5905     58.3158     55.9122
6.6919      559.7050     599.3383     39.6333     655.2956      95.5906     58.2857     55.9573
6.7175      559.7050     599.3721     39.6671     655.3551      95.6501     58.3281     55.9830
6.7436      559.7276     599.3721     39.6444     655.3600      95.6323     58.3071     55.9879
6.7689      559.7503     599.3721     39.6218     655.4268      95.6766     58.3067     56.0547
6.7962      559.7390     599.3383     39.5993     655.4689      95.7299     58.3095     56.1306
6.8232      559.7616     599.3721     39.6105     655.6095      95.8479     58.3563     56.2374
6.8503      559.7616     599.3721     39.6105     655.6341      95.8726     58.3645     56.2620
6.8774      559.7729     599.3721     39.5992     655.6177      95.8449     58.3478     56.2457
6.9045      559.7842     599.3721     39.5879     655.6628      95.8786     58.3515     56.2907
6.9321      559.7616     599.3383     39.5767     655.7353      95.9737     58.3757     56.3970
6.9580      559.8068     599.3383     39.5315     655.7503      95.9435     58.3355     56.4120
6.9841      559.7955     599.3045     39.5090     655.7006      95.9051     58.3077     56.3961
7.0109      559.7955     599.3383     39.5428     655.7591      95.9636     58.3497     56.4208
7.0375      559.8407     599.3721     39.5313     655.7870      95.9463     58.3363     56.4149
7.0643      559.8860     599.3721     39.4861     655.8525      95.9666     58.3129     56.4804
7.0926      559.8973     599.3721     39.4748     655.9580      96.0607     58.3368     56.5859
7.1215      559.9199     599.3383     39.4184     655.9373      96.0174     58.2847     56.5990
7.1492      559.8860     599.3383     39.4523     655.9408      96.0548     58.3198     56.6025
7.1762      559.9086     599.3383     39.4297     655.9856      96.0770     58.3121     56.6473
7.2038      559.9425     599.3383     39.3958     656.0403      96.0977     58.2964     56.7020
7.2309      559.9538     599.3383     39.3845     656.0543      96.1005     58.2898     56.7161
7.2557      559.9651     599.3383     39.3732     656.1310      96.1659     58.3041     56.7927
7.2821      559.9991     599.3721     39.3730     656.1589      96.1598     58.3019     56.7868
7.3094      560.0217     599.3721     39.3504     656.2441      96.2225     58.3078     56.8721
7.3379      560.0556     599.3383     39.2827     656.2642      96.2086     58.2580     56.9259
7.3653      560.0330     599.3383     39.3053     656.3085      96.2755     58.2954     56.9702
7.3945      560.0669     599.3383     39.2714     656.3721      96.3052     58.2826     57.0338
7.4241      560.0443     599.3045     39.2602     656.3608      96.3165     58.2790     57.0563
7.4508      560.0669     599.3383     39.2714     656.4494      96.3825     58.3084     57.1112
7.4767      560.0782     599.3383     39.2601     656.4334      96.3552     58.2918     57.0951
7.5047      560.0330     599.3721     39.3391     656.4907      96.4577     58.3786     57.1186
7.5318      560.0556     599.3383     39.2827     656.5012      96.4456     58.3370     57.1629
7.5580      560.0782     599.3383     39.2601     656.5867      96.5085     58.3429     57.2484
7.5853      560.1008     599.3383     39.2374     656.6816      96.5808     58.3519     57.3433
7.6153      560.1235     599.3383     39.2148     656.7138      96.5904     58.3400     57.3755
7.6450      560.1461     599.3383     39.1922     656.7970      96.6510     58.3451     57.4588
7.6728      560.1122     599.3045     39.1923     656.8069      96.6947     58.3598     57.5024
7.7019      560.1122     599.3045     39.1923     656.7888      96.6766     58.3538     57.4843
7.7283      560.1122     599.3383     39.2261     656.8162      96.7041     58.3855     57.4779
7.7550      560.1122     599.3383     39.2261     656.9316      96.8194     58.4239     57.5933
7.7806      560.1461     599.3721     39.2260     657.0103      96.8642     58.4387     57.6382
7.8102      560.1913     599.3383     39.1470     657.0188      96.8275     58.3738     57.6805
7.8381      560.2139     599.3383     39.1244     657.1129      96.8990     58.3826     57.7746
7.8674      560.2139     599.3045     39.0906     657.1115      96.8975     58.3596     57.8070
7.8954      560.2139     599.3045     39.0906     657.1446      96.9306     58.3706     57.8401
7.9238      560.2139     599.3045     39.0906     657.2078      96.9938     58.3917     57.9033
7.9553      560.1913     599.2369     39.0456     657.1609      96.9696     58.3536     57.9240
7.9837      560.1574     599.2369     39.0795     657.1633      97.0059     58.3883     57.9264
8.0100      560.1574     599.2369     39.0795     657.1770      97.0197     58.3929     57.9401
8.0374      560.1913     599.2707     39.0794     657.3049      97.1136     58.4241     58.0342
8.0646      560.1574     599.2707     39.1133     657.2979      97.1405     58.4557     58.0272
8.0911      560.2139     599.2369     39.0230     657.3687      97.1548     58.4002     58.1318
8.1187      560.2252     599.2369     39.0117     657.3714      97.1462     58.3898     58.1345
8.1461      560.1913     599.2707     39.0794     657.3778      97.1865     58.4484     58.1071
8.1736      560.2139     599.2707     39.0568     657.4412      97.2273     58.4469     58.1705
8.2032      560.2366     599.2369     39.0004     657.5604      97.3238     58.4415     58.3235
8.2323      560.1800     599.3045     39.1245     657.5893      97.4093     58.5528     58.2848
8.2606      560.2026     599.2707     39.0681     657.5880      97.3854     58.5072     58.3173
8.2885      560.1913     599.2369     39.0456     657.5667      97.3754     58.4889     58.3298
8.3161      560.2252     599.2369     39.0117     657.5996      97.3744     58.4659     58.3627
8.3433      560.2252     599.2707     39.0455     657.6766      97.4514     58.5141     58.4059
8.3717      560.2592     599.2369     38.9777     657.7356      97.4765     58.4773     58.4987
8.3997      560.2705     599.2369     38.9664     657.7782      97.5078     58.4802     58.5413
8.4278      560.2252     599.2369     39.0117     657.7805      97.5552     58.5262     58.5435
8.4567      560.2479     599.2369     38.9891     657.8425      97.5946     58.5243     58.6056
8.4851      560.2592     599.2369     38.9777     657.9049      97.6457     58.5337     58.6680
8.5127      560.2479     599.2369     38.9891     657.8872      97.6393     58.5392     58.6503
8.5408      560.2252     599.2707     39.0455     657.9231      97.6979     58.5963     58.6524
8.5693      560.2479     599.2369     38.9891     657.9415      97.6936     58.5572     58.7046
8.5950      560.2139     599.2369     39.0230     657.9652      97.7513     58.5991     58.7283
8.6226      560.2705     599.2369     38.9664     658.0380      97.7675     58.5668     58.8010
8.6514      560.2931     599.2369     38.9438     658.0596      97.7665     58.5514     58.8227
8.6786      560.2931     599.2369     38.9438     658.1024      97.8093     58.5656     58.8655
8.7072      560.2931     599.2369     38.9438     658.1442      97.8511     58.5796     58.9073
8.7372      560.3270     599.2369     38.9099     658.2052      97.8782     58.5660     58.9683
8.7674      560.3496     599.2369     38.8873     658.2760      97.9264     58.5670     59.0391
8.7947      560.3157     599.2707     38.9550     658.3323      98.0166     58.6422     59.0616
8.8236      560.3270     599.2369     38.9099     658.3199      97.9929     58.6042     59.0830
8.8498      560.3383     599.2031     38.8648     658.3092      97.9709     58.5668     59.1061
8.8765      560.3383     599.2369     38.8986     658.3659      98.0275     58.6082     59.1289
8.9050      560.3610     599.2369     38.8760     658.4175      98.0566     58.6028     59.1806
8.9332      560.3610     599.2031     38.8422     658.4055      98.0446     58.5763     59.2024
8.9619      560.3157     599.1693     38.8536     658.4031      98.0874     58.5982     59.2338
8.9913      560.3157     599.1693     38.8536     658.4341      98.1183     58.6085     59.2647
9.0209      560.3836     599.1693     38.7858     658.5549      98.1713     58.5810     59.3856
9.0501      560.3383     599.2031     38.8648     658.5697      98.2313     58.6536     59.3665
