eps1         u           sigma3       sigma3'     sigma1       sigma1'      p           q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]        [kPa]       [kPa] 

0.0000      500.9763     599.6847     98.7084     602.0796     101.1032     99.5067      2.3948
0.0203      505.1857     599.7495     94.5638     606.7323     101.5466     96.8914      6.9828
0.0432      508.6988     599.7333     91.0345     611.5897     102.8909     94.9866     11.8564
0.0697      512.2929     599.7009     87.4080     615.2188     102.9259     92.5806     15.5179
0.0953      516.0004     599.7495     83.7491     618.9394     102.9390     90.1458     19.1899
0.1243      518.7688     599.7981     81.0293     621.3737     102.6049     88.2211     21.5756
0.1456      520.7925     599.7657     78.9732     623.2763     102.4837     86.8100     23.5106
0.1626      522.5086     599.7333     77.2247     624.7921     102.2835     85.5776     25.0588
0.1924      523.9981     599.7657     75.7676     626.3138     102.3157     84.6170     26.5481
0.2252      525.3904     599.7495     74.3591     627.1326     101.7422     83.4868     27.3831
0.2492      526.6208     599.7819     73.1611     628.6146     101.9938     82.7720     28.8327
0.2749      527.8027     599.7495     71.9468     629.1996     101.3969     81.7635     29.4500
0.3027      528.9845     599.7009     70.7164     630.6287     101.6442     81.0257     30.9278
0.3238      530.0692     599.7171     69.6479     631.5576     101.4883     80.2614     31.8404
0.3469      531.0892     599.7009     68.6117     632.3873     101.2981     79.5072     32.6864
0.3708      532.0282     599.7171     67.6889     632.9954     100.9672     78.7817     33.2783
0.4002      532.8862     599.6847     66.7985     633.8778     100.9916     78.1962     34.1931
0.4269      533.7119     599.7171     66.0052     634.5569     100.8450     77.6185     34.8398
0.4513      534.4728     599.6847     65.2119     635.1717     100.6989     77.0409     35.4870
0.4797      535.1852     599.7171     64.5319     635.7275     100.5424     76.5354     36.0104
0.5078      535.7680     599.7009     63.9329     636.2498     100.4818     76.1159     36.5489
0.5295      536.4480     599.7171     63.2691     636.7761     100.3281     75.6221     37.0590
0.5545      537.1118     599.6523     62.5406     637.2504     100.1387     75.0733     37.5981
0.5816      537.6784     599.6685     61.9901     637.7589     100.0805     74.6869     38.0904
0.6102      538.2774     599.6685     61.3911     638.2504      99.9730     74.2517     38.5818
0.6360      538.8279     599.6361     60.8083     638.6494      99.8215     73.8127     39.0133
0.6652      539.3621     599.6523     60.2902     639.0802      99.7181     73.4328     39.4279
0.6905      539.7992     599.6685     59.8693     639.4210      99.6218     73.1201     39.7525
0.7164      540.2202     599.7009     59.4807     639.8232      99.6030     72.8548     40.1223
0.7367      540.7221     599.6199     58.8979     640.0686      99.3465     72.3808     40.4486
0.7614      541.0782     599.6685     58.5903     640.4263      99.3481     72.1762     40.7578
0.7872      541.5639     599.6523     58.0884     640.7643      99.2004     71.7924     41.1120
0.8101      541.9525     599.6199     57.6675     641.1023      99.1498     71.4949     41.4823
0.8356      542.4220     599.6199     57.1980     641.4410      99.0190     71.1383     41.8210
0.8584      542.7134     599.6361     56.9228     641.7513      99.0379     70.9611     42.1152
0.8875      543.1343     599.6523     56.5180     642.0436      98.9093     70.6484     42.3912
0.9145      543.5067     599.6847     56.1780     642.4287      98.9220     70.4260     42.7440
0.9411      543.7819     599.6523     55.8704     642.5973      98.8154     70.1854     42.9450
0.9668      544.2028     599.6523     55.4495     642.9199      98.7170     69.8720     43.2675
0.9915      544.4295     599.6523     55.2228     643.1062      98.6767     69.7075     43.4539
1.0124      544.7533     599.6199     54.8667     643.3376      98.5843     69.4392     43.7177
1.0341      545.1257     599.6685     54.5429     643.6192      98.4935     69.1931     43.9507
1.0607      545.4333     599.6361     54.2029     643.8478      98.4146     68.9401     44.2117
1.0864      545.7085     599.6038     53.8953     644.0463      98.3379     68.7095     44.4426
1.1126      545.9351     599.6361     53.7010     644.3548      98.4197     68.6072     44.7187
1.1389      546.2266     599.6199     53.3934     644.5084      98.2819     68.3562     44.8885
1.1629      546.5503     599.6523     53.1020     644.7570      98.2067     68.1369     45.1047
1.1904      546.7284     599.6199     52.8915     644.9240      98.1955     67.9929     45.3040
1.2131      546.9713     599.6523     52.6811     645.1275      98.1563     67.8395     45.4752
1.2405      547.2789     599.6523     52.3735     645.3570      98.0781     67.6083     45.7047
1.2671      547.5055     599.6685     52.1630     645.6331      98.1276     67.4845     45.9646
1.2920      547.6998     599.6199     51.9201     645.7846      98.0848     67.3084     46.1647
1.3173      548.0236     599.6361     51.6125     645.9855      97.9619     67.0623     46.3493
1.3483      548.2017     599.6523     51.4506     646.1987      97.9970     66.9661     46.5463
1.3765      548.3798     599.5714     51.1916     646.2857      97.9059     66.7630     46.7143
1.4000      548.6226     599.6523     51.0297     646.5368      97.9141     66.6579     46.8844
1.4246      548.8169     599.6361     50.8192     646.6750      97.8581     66.4989     47.0389
1.4493      549.0112     599.6847     50.6735     646.8930      97.8818     66.4096     47.2082
1.4789      549.2378     599.6361     50.3983     646.9962      97.7584     66.1850     47.3601
1.5047      549.3674     599.6523     50.2850     647.1660      97.7986     66.1229     47.5137
1.5345      549.6102     599.6847     50.0745     647.4253      97.8151     65.9881     47.7406
1.5620      549.7235     599.6199     49.8964     647.5131      97.7895     65.8608     47.8931
1.5847      549.9664     599.6685     49.7022     647.7466      97.7802     65.7282     48.0780
1.6101      550.1768     599.6523     49.4755     647.8687      97.6919     65.5476     48.2164
1.6403      550.2578     599.7171     49.4593     648.1146      97.8568     65.5918     48.3975
1.6683      550.4197     599.6199     49.2003     648.1241      97.7044     65.3683     48.5042
1.6924      550.5816     599.6685     49.0869     648.3114      97.7298     65.3012     48.6429
1.7147      550.7435     599.6523     48.9089     648.4649      97.7214     65.1797     48.8125
1.7398      550.9054     599.6523     48.7470     648.5427      97.6373     65.0437     48.8903
1.7652      551.0997     599.6361     48.5365     648.6944      97.5948     64.8893     49.0583
1.7897      551.2454     599.7171     48.4718     648.9287      97.6833     64.8756     49.2115
1.8148      551.3749     599.6361     48.2613     649.0005      97.6257     64.7161     49.3644
1.8400      551.5368     599.6361     48.0994     649.1383      97.6015     64.6001     49.5021
1.8669      551.7311     599.7009     47.9699     649.3849      97.6538     64.5312     49.6839
1.8906      551.7958     599.6199     47.8241     649.3520      97.5562     64.4015     49.7320
1.9144      551.8606     599.6685     47.8080     649.5689      97.7083     64.4414     49.9003
1.9383      552.0063     599.6361     47.6299     649.6445      97.6382     64.2993     50.0083
1.9663      552.2653     599.6847     47.4194     649.7989      97.5336     64.1241     50.1142
1.9920      552.2977     599.5876     47.2899     649.7787      97.4810     64.0202     50.1911
2.0190      552.4110     599.6038     47.1927     649.9612      97.5501     63.9785     50.3574
2.0441      552.5729     599.6361     47.0632     650.1307      97.5578     63.8947     50.4945
2.0697      552.7348     599.6199     46.8851     650.2663      97.5315     63.7673     50.6464
2.0940      552.7834     599.6199     46.8366     650.4037      97.6203     63.7645     50.7838
2.1228      552.8805     599.6199     46.7394     650.4488      97.5682     63.6824     50.8288
2.1483      552.9777     599.6361     46.6585     650.6166      97.6389     63.6520     50.9804
2.1747      553.0910     599.6847     46.5937     650.7863      97.6953     63.6276     51.1016
2.1986      553.1881     599.6199     46.4318     650.8439      97.6557     63.5065     51.2239
2.2217      553.3176     599.6523     46.3347     650.9540      97.6364     63.4353     51.3017
2.2487      553.3662     599.5876     46.2213     650.9500      97.5837     63.3421     51.3624
2.2726      553.4634     599.6199     46.1566     651.2093      97.7459     63.3530     51.5894
2.2998      553.6414     599.6685     46.0271     651.3633      97.7218     63.2587     51.6947
2.3281      553.7224     599.6685     45.9461     651.4530      97.7306     63.2076     51.7845
2.3545      553.8357     599.6199     45.7842     651.4951      97.6594     63.0760     51.8752
2.3827      553.9329     599.6199     45.6871     651.6147      97.6819     63.0187     51.9948
2.4084      554.0462     599.6685     45.6224     651.7692      97.7230     62.9892     52.1007
2.4358      554.1109     599.6038     45.4928     651.8243      97.7134     62.8997     52.2206
2.4597      554.1919     599.5714     45.3795     651.8837      97.6918     62.8169     52.3124
2.4832      554.2566     599.6199     45.3633     651.9944      97.7377     62.8214     52.3744
2.5049      554.4185     599.6685     45.2500     652.1956      97.7771     62.7590     52.5271
2.5335      554.4833     599.6361     45.1528     652.2225      97.7392     62.6816     52.5863
2.5639      554.6128     599.6199     45.0071     652.3839      97.7711     62.5951     52.7639
2.5923      554.6452     599.6038     44.9586     652.4120      97.7668     62.5613     52.8083
2.6213      554.7261     599.6038     44.8776     652.5305      97.8044     62.5199     52.9268
2.6513      554.8557     599.5876     44.7319     652.6024      97.7468     62.4035     53.0149
2.6770      554.9204     599.5876     44.6671     652.6928      97.7723     62.3689     53.1052
2.7038      554.9690     599.5876     44.6186     652.7974      97.8284     62.3552     53.2098
2.7273      555.0338     599.5876     44.5538     652.8292      97.7955     62.3010     53.2417
2.7510      555.2118     599.5390     44.3271     652.9315      97.7197     62.1247     53.3926
2.7758      555.2604     599.6199     44.3595     653.0883      97.8279     62.1823     53.4683
2.8017      555.3252     599.6199     44.2948     653.2527      97.9275     62.1724     53.6327
2.8343      555.3414     599.6038     44.2624     653.3078      97.9664     62.1637     53.7040
2.8625      555.4547     599.6038     44.1491     653.3815      97.9268     62.0750     53.7777
2.8929      555.5033     599.6038     44.1005     653.4837      97.9804     62.0605     53.8799
2.9201      555.5842     599.5552     43.9710     653.4944      97.9102     61.9507     53.9392
2.9428      555.6166     599.6199     44.0034     653.7101      98.0935     62.0334     54.0901
2.9639      555.6975     599.5876     43.8900     653.7254      98.0278     61.9360     54.1378
2.9858      555.7947     599.5552     43.7605     653.7551      97.9604     61.8271     54.1999
3.0123      555.8594     599.5552     43.6957     653.8740      98.0145     61.8020     54.3188
3.0430      555.9889     599.5876     43.5986     654.0229      98.0339     61.7437     54.4353
3.0746      556.0051     599.5876     43.5824     654.1090      98.1039     61.7563     54.5215
3.1038      556.0861     599.6361     43.5501     654.2748      98.1887     61.7629     54.6387
3.1342      556.0375     599.6038     43.5662     654.3736      98.3361     61.8229     54.7699
3.1618      556.1994     599.6038     43.4043     654.4026      98.2031     61.6706     54.7988
3.1946      556.1670     599.6038     43.4367     654.4878      98.3207     61.7314     54.8840
3.2256      556.3127     599.6847     43.3720     654.5660      98.2532     61.6657     54.8813
3.2524      556.3775     599.6199     43.2425     654.6342      98.2567     61.5805     55.0143
3.2795      556.4261     599.5390     43.1129     654.6267      98.2006     61.4755     55.0877
3.3069      556.4584     599.6199     43.1615     654.8106      98.3521     61.5584     55.1906
3.3310      556.6203     599.5876     42.9672     654.8977      98.2774     61.4039     55.3101
3.3562      556.6365     599.6199     42.9834     655.0637      98.4272     61.4647     55.4438
3.3846      556.6689     599.5876     42.9186     655.0447      98.3758     61.4043     55.4571
3.4099      556.7660     599.6523     42.8863     655.1985      98.4324     61.4017     55.5461
3.4383      556.7499     599.6199     42.8701     655.2385      98.4887     61.4096     55.6186
3.4721      556.7660     599.6361     42.8701     655.3091      98.5431     61.4278     55.6730
3.5003      556.8470     599.5714     42.7244     655.3316      98.4846     61.3111     55.7602
3.5254      556.8794     599.5876     42.7082     655.3480      98.4687     61.2950     55.7605
3.5546      556.9927     599.6038     42.6110     655.5690      98.5763     61.2661     55.9652
3.5859      557.0251     599.5714     42.5463     655.5923      98.5672     61.2199     56.0209
3.6142      557.1060     599.5552     42.4491     655.6187      98.5126     61.1370     56.0635
3.6384      557.1546     599.5552     42.4006     655.7080      98.5534     61.1182     56.1528
3.6692      557.1546     599.5390     42.3844     655.7476      98.5930     61.1206     56.2086
3.6976      557.2194     599.5390     42.3196     655.8343      98.6149     61.0847     56.2953
3.7288      557.1870     599.5876     42.4006     655.9236      98.7366     61.1793     56.3361
3.7570      557.3003     599.5228     42.2225     655.9603      98.6600     61.0350     56.4375
3.7835      557.2841     599.6038     42.3196     656.1289      98.8447     61.1613     56.5251
3.8046      557.3813     599.6038     42.2225     656.2196      98.8384     61.0945     56.6159
3.8326      557.4460     599.5552     42.1091     656.2135      98.7675     60.9953     56.6583
3.8618      557.3974     599.5390     42.1415     656.2979      98.9005     61.0612     56.7590
3.8877      557.5270     599.5228     41.9958     656.3842      98.8572     60.9496     56.8614
3.9129      557.6241     599.5714     41.9473     656.4915      98.8674     60.9206     56.9201
3.9437      557.6079     599.5552     41.9473     656.5306      98.9227     60.9391     56.9755
3.9700      557.6403     599.6361     41.9958     656.6842      99.0439     61.0119     57.0481
3.9978      557.7051     599.5714     41.8663     656.6618      98.9567     60.8964     57.0904
4.0260      557.7374     599.6038     41.8663     656.7362      98.9988     60.9105     57.1325
4.0554      557.7536     599.5876     41.8339     656.8495      99.0959     60.9212     57.2619
4.0838      557.8022     599.5390     41.7368     656.7987      98.9965     60.8233     57.2597
4.1087      557.8993     599.5390     41.6396     656.9453      99.0460     60.7751     57.4064
4.1407      557.8993     599.5228     41.6234     656.9393      99.0400     60.7623     57.4166
4.1620      557.8831     599.5714     41.6882     657.0926      99.2095     60.8620     57.5213
4.1799      557.9479     599.5876     41.6397     657.1715      99.2236     60.8343     57.5839
4.2095      557.9641     599.6038     41.6397     657.3313      99.3672     60.8822     57.7276
4.2417      558.0127     599.6038     41.5911     657.2972      99.2846     60.8223     57.6935
4.2684      558.0288     599.6038     41.5749     657.3544      99.3256     60.8251     57.7507
4.2974      558.0936     599.5552     41.4616     657.3910      99.2974     60.7402     57.8358
4.3240      558.0936     599.6038     41.5101     657.4821      99.3885     60.8029     57.8784
4.3495      558.1260     599.5552     41.4292     657.5646      99.4386     60.7657     58.0094
4.3718      558.2393     599.5066     41.2673     657.5464      99.3071     60.6139     58.0399
4.4014      558.2231     599.6038     41.3806     657.7428      99.5197     60.7603     58.1391
4.4298      558.3041     599.5066     41.2025     657.6723      99.3682     60.5911     58.1657
4.4586      558.2555     599.5552     41.2997     657.8204      99.5649     60.7214     58.2653
4.4866      558.3688     599.5876     41.2187     657.8943      99.5255     60.6543     58.3067
4.5103      558.3041     599.6199     41.3159     658.0000      99.6959     60.7759     58.3800
4.5358      558.3526     599.6038     41.2511     658.0120      99.6594     60.7205     58.4083
4.5588      558.3688     599.5228     41.1539     657.9901      99.6213     60.6431     58.4674
4.5833      558.4498     599.5876     41.1378     658.1276      99.6778     60.6511     58.5400
4.6105      558.4983     599.5552     41.0568     658.1662      99.6679     60.5938     58.6110
4.6423      558.5469     599.6038     41.0568     658.3121      99.7652     60.6263     58.7083
4.6664      558.5631     599.5876     41.0245     658.3395      99.7764     60.6084     58.7519
4.6942      558.5793     599.6523     41.0730     658.4309      99.8516     60.6659     58.7786
4.7236      558.5793     599.5228     40.9435     658.3854      99.8061     60.5644     58.8626
4.7513      558.5631     599.6199     41.0568     658.5529      99.9898     60.7012     58.9330
4.7769      558.6602     599.6038     40.9435     658.5501      99.8899     60.5923     58.9464
4.8057      558.6764     599.5714     40.8949     658.5874      99.9110     60.5669     59.0160
4.8320      558.7574     599.6038     40.8464     658.7055      99.9481     60.5470     59.1017
4.8549      558.7412     599.5390     40.7978     658.6702      99.9290     60.5082     59.1312
4.8779      558.7736     599.5552     40.7816     658.7742     100.0006     60.5213     59.2190
